GPCR,STANDARD_VALUE,smiles
P50406,-0.079,COC1=CC(=CC=C1)S(=O)(=O)C2=CC(=C3C(=C2)C4=C(O3)CCNC4)Cl
P50406,-0.6,CN1CCC2=C(CC1)C=C(C=C2)NS(=O)(=O)C3=CC=C(S3)C4=CC=C(C=C4)Cl
P50406,-0.839,C1CN(CCN1CCCCOC2=CC=C(C=C2)F)C3=CC=CC4=C3C=CN4S(=O)(=O)C5=CC=CC=C5
P50406,-0.6,CNC1C(C2=C1C=C3C=CN(C3=C2)S(=O)(=O)C4=CC=CC=C4)CCO
P50406,-3.063,C1C2=C(C=CC(=C2Cl)Cl)NC(=N1)N
P50406,-1.468,C1CNCCC1NC2=CC=CC3=NNC(=C32)S(=O)(=O)C4=CC=CC5=CC=CC=C54.Cl
P50406,-2.672,COC(=O)C1=CN2C(=NC(=C(C2=N)S(=O)(=O)C3=CC=CC=C3)SC)C=C1
P50406,-3.294,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCCCN3CCN(CC3)C4=CC=CC=C4OC.Cl
P50406,-0.431,CCC1CN(N=C1)C(=NCC)NS(=O)(=O)C2=C(C(=CC=C2)Cl)F
P50406,-0.732,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C
P50406,-1.265,CN(C)C(=O)C(=O)C1=CNC2=C1C=C(C=C2)NS(=O)(=O)C3=C(N=C4N3C=CS4)Cl
P50406,-3.21,C1CN(CCN1CCOCCC(=O)NCC2=CC=C(C=C2)C#N)C3=C(C=CC=N3)C4=CC=C(C=C4)F
P50406,0.284,CC1=CN(C2=C1C=C(C=C2)F)S(=O)(=O)C3=CC(=C(C=C3)OC)NC4CCN(CC4)C
P50406,-3.552,CN1C(=O)C(N(C1=O)CCCCN2CCN(CC2)C3=CC=CC=C3OC)(C4=CC=CC=C4)C5=CC=CC=C5
P50406,-1.672,C1CN(CCN1CCCCNS(=O)(=O)C2=CC=C(C=C2)OC(F)(F)F)C3=NSC4=CC=CC=C43
P50406,-3.017,CN1CCC2=C(C1)C3=C(N2CCC4=CC=CC=N4)C=CC(=C3)Br
P50406,-2.553,CSC1=CC=CC=C1OCCN2CCC(C2)NS(=O)(=O)C3=CC=C(C=C3)F
P50406,-2.189,CC1=CC=C(C=C1)S(=O)(=O)C2=CC3=C(C=C2)C4CCNCC4O3.Cl
P50406,-0.982,CN1CCC(CC1)C2=CNC3=C2C=C(C=C3)NS(=O)(=O)C4=CC=CC5=C4C=CC=C5Cl
