GPCR,smiles,STANDARD_VALUE
P35368,CC1=C(C(C(=C(N1)C)C(=O)NCCCN2CCC(CC2)(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC=C(C=C5)[N+](=O)[O-])C(=O)C,-2.42
P35368,CC(=O)N1CCC2(CC1)OCC(O2)CN3CCN(CC3)C4=CC=CC=C4OC,-3
P35368,COC1=CC=CC2=C1CCC3C2CN(C3)CCN4C(=O)C5=C(C=C(S5)C6=CC=CC=C6)NC4=O,-1.053
P35368,CN1C=C(C(NC1=O)C2=CC(=C(C=C2)F)F)C(=O)NCCCN3CCC(CC3)(C#N)C4=C(C=C(C=C4)F)C#N,-2.643
P35368,CN1C(=O)C(=CC(=N1)C2=CC=CC=C2)NCCN3CCN(CC3)C4=C(C=CC(=C4)Cl)OC,-0.246
P35368,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,-0.806
P35368,CC(C)OC1=CC=CC=C1N2CCN(CC2)CC3=CC(=NN3C)CN4CCCCC4=O,-3.442
P35368,CC1=C(C(C(=C(N1)COCCN)C(=O)NCCCN2CCC(CC2)C3=CC=CC=C3)C4=CC=C(C=C4)[N+](=O)[O-])C(=O)N,-1.253
P35368,CC(C)OC1=CC=CC=C1N2CCN(CC2)C3CCC(CC3)NC(=O)NC4=CC=CC=C4OC,-2.217
P35368,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC,0.09
P35368,CC1=C(C(CC(=O)N1C)C2=CC(=C(C=C2)F)F)C(=O)NCCCN3CCC(CC3)C4=C(C=C(C=C4)F)C#N,-2.563
P35368,C1CC1C2=CC=CC=C2OCC3=NCCN3,-1.8
P35368,COC1=C(C(=CC=C1)OC)OCCNCCOC2=CC=CC=C2OCC3=CC=CC=C3Cl,0.25
P35368,COC1=CC=CC=C1N2CCN(CC2)CC3COC(O3)(CN4C(=O)CCCC4=O)C5=CC=CC=C5,-1.67
P35368,COC1=CC=CC=C1OCCNCC2CCC(C2O)(C3=CC=CC=C3)C4=CC=CC=C4,-1.87
P35368,CC(C)OC1=CC=CC=C1N2CCN(CC2)CCC3=CC(=C(C=C3)OC)OC,-1.02
P35368,CC1=CC=C(C=C1)C2C(OC3=CC=CC=C3O2)CNCCOC4=C(C=CC=C4OC)OC,-2.29
P35368,COC1=CC=CC2=C1CCC3C2CN(C3)CCN4C(=O)C5=C(C6=NC(=CN=C6S5)Cl)NC4=O,-1.545
P35368,CC1=NC(=C(C(C1C(=O)NC)C2=CC=C(C=C2)[N+](=O)[O-])C(=O)NCCCN3CCC(CC3)(CN(C)C)C4=CC=CC=C4)C,-4.653
P35368,C1CN=C(N1)CNC2=CC=CC=C2C3=CC=CC=N3,-2.77
P35368,COC1=C(C(=CC=C1)OC)OCCNCC2COCC(O2)(C3=CC=CC=C3)C4=CC=CC=C4,-3.22
P35368,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,-1.542
P35368,C1CN(CCN1CCC2=CC=C(C=C2)CN3C(=O)C4=CC=CC=C4C3=O)C5=CC=CC=C5F,-3.273
P35368,CC1=CNC(=O)N(C1=O)CC(C)(C)CN2CCN(CC2)C3=CC=CC=C3OCC(F)(F)F,-2.6
P35368,COC1=C(C=C2C(=C1)C(=O)N=C(N2)C3=CC=C(C=C3)F)OC,-2.041
P35368,CC(CC1=CC2=C(C(=C1)C(=O)N)N(CC2)CCCO)NCCOC3=C(C=C(C=C3)F)OC,-3.109
