GPCR,smiles,STANDARD_VALUE
Q9Y2T5,C1C(OC2=CC=CC(=C21)C3=CC(=CC=C3)C(=O)NCCO)CC4=CC(=CC=C4)C(F)(F)F,-2.81
Q9Y2T5,C1=CC(=CC(=C1)C(F)(F)F)CC2=CC3=C(C=CC(=C3S2)C4=CC(=CC=C4)C(=O)NCC(=O)N)F,-1.92
Q9Y2T5,C1=CC(=CC(=C1)C(=O)NCCO)C2=NC(=CC=C2)OCCC3=CC(=CC(=C3)Cl)F,-2.54
Q9Y2T5,C1=CC(=CC(=C1)C(F)(F)F)CC2=CC3=C(O2)C(=CC=C3)C4=CC(=CC=C4)C(=O)NCCO,-1.542
Q9Y2T5,C1=CC(=CC(=C1)C(F)(F)F)CCOC2=CC=CC(=N2)C3=CC(=CC=C3)C(=O)NCCO,-2.81
Q9Y2T5,C1=CC(=CC(=C1)C(F)(F)F)CC2=CC3=C(S2)C(=CC=C3)C4=CC(=CC=C4)C(=O)NCCO,-1.569
Q9Y2T5,C1=CC(=CC(=C1)C(F)(F)F)CC2=CC3=C(S2)C(=CC=C3)C4=CC(=CC=C4)C(=O)NCC(=O)N,-1.74
Q9Y2T5,C1C(OC2=C(C=CC=C21)C3=CC(=CC=C3)C(=O)NCCO)CC4=CC(=CC=C4)C(F)(F)F,-2.32
Q9Y2T5,C1=CC(=CC(=C1)C(F)(F)F)CN2C=C3C=CC=C(C3=N2)C4=CC(=CC=C4)C(=O)NCCO,-1.811
Q9Y2T5,C1=CC(=CC(=C1)C(F)(F)F)CC2=CC3=C(C=CC=C3S2)C4=CC(=CC=C4)C(=O)NCCO,-1.58
Q9Y2T5,C1=CC(=CC(=C1)C(F)(F)F)CN2C=C3C(=N2)C=CC=C3C4=CC(=CC=C4)C(=O)NCCO,-1.591
Q9Y2T5,CC1=C(OC2=C1C=CC=C2C3=CC(=CC=C3)C(=O)NCCO)CC4=CC(=CC=C4)C(F)(F)F,-1.909
Q9Y2T5,COCCNC(=O)C1=CC=CC(=C1)C2=CC=CC3=C2SC(=C3)CC4=CC(=CC(=C4)Cl)F,-1.474
Q9Y2T5,C1=CC(=CC(=C1)C(F)(F)F)CC2=CC3=C(C=CC=C3O2)C4=CC(=CC=C4)C(=O)NCCO,-1.45
Q9Y2T5,COCCNC(=O)C1=CC=CC(=C1)C2=CC=CC3=C2SC(=C3)CC4=CC(=CC=C4)C(F)(F)F,-1.632
