GPCR,smiles,STANDARD_VALUE
P24530,COC1=CC(=CC=C1)OC(C(=O)O)C2(C3=CC=CC=C3N(C(=O)CN2)CC4=C(C=CC=C4Cl)Cl)C5=CC=CC=C5,-3.167
P24530,CCCN(CCN1CC(C(C1C2=CC(=C(C=C2)OC)F)C(=O)O)C3=CC4=C(C=C3)OCO4)S(=O)(=O)CCCCl,0.314
P24530,COC1=CC=C(C=C1)C2(C(=C(C(=O)O2)C3=CC4=C(C=C3)OCO4)CC5=C(C(=CC=C5)OC)OC)O,-3.342
P24530,CC1=CC2=C(C=C1NC(=O)C3=C(C=CS3)S(=O)(=O)NC4=C(C(=NO4)C)Cl)OCO2,-4.55
P24530,CC(C1=CC=CC=C1)(C(C(=O)OC)OC2=NC(=CC(=N2)OC)OC)OC3=CC=C(C=C3)SC,-3.672
P24530,CCC1=CC(=CC(=C1NC(=O)CN2CC(C(C2C3=CC=C(C=C3)OC)C(=O)O)C4=CC5=C(C=C4)OCO5)CC)C(=O)O,-1.643
P24530,CC1=CC=CC=C1C(C2=CC=CC=C2C)NC(=O)CN3CC(C(C3C4=CC=C(C=C4)OCCOC)C(=O)O)C5=CC6=C(C=C5)OCO6.C(=O)(C(F)(F)F)O,-0.23
P24530,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=CC=C2C3=CC=C(C=C3)C4=COC=N4,-4.301
P24530,CC1=CC(=NC(=N1)OC(C(=O)O)C(C2=CC=CC=C2)(C3=CC=CC=C3)OCCC4=CC=C(C=C4)OC)OC,-1.365
P24530,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NO2)C)C,-4.176
P24530,CCO.CC1=CC=C(C=C1)C2=C(N=CN=C2OCCOC3=NC=C(C=N3)OC)[N-]S(=O)(=O)C4=CC=C(C=C4)C(C)(C)C.[Na+],-2.38
P24530,CC1=CC=CC=C1C(C2=CC=CC=C2C)NC(=O)CN3CC(C(C3C4=CC=C(C=C4)OC)C(=O)O)C5=CC6=C(C=C5)OCO6,-0.041
P24530,C1OC2=C(O1)C=C(C=C2)CN3C4=CC=CC=C4C(=C3C(=O)O)SC5=CC6=C(C=C5)OCO6,-3.653
P24530,COC1=CC=C(C=C1)C2(C(=C(C(=O)O2)C3=CC4=C(C=C3)OCO4)CC5CCCCCC5)O,-3.114
P24530,CC1=CC(=NC(=N1)OC(C(=O)O)C2(C3=CC=CC=C3N(C(=O)CN2)CC4=CC=CC=C4F)C5=CC=CC=C5)C,-1.52
P24530,CC(C)C1=CN=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCC#C)OC4=CC=CC=C4OC,-3.29
P24530,CCCCC1=CC=C(C=C1)CN2C(=O)CNC(C3=CC=CC=C32)(C4=CC=CC=C4)C(C(=O)O)OC5=NC(=CC(=N5)C)C,-1.045
P24530,CC(C)NC1=NC2=C(C=C1)C(C(C2C3=C(C=C(C=C3)OC)OC)C(=O)O)C4=CC5=C(C=C4)OCO5,-1.398
P24530,COC1=C(C2=C(C=C1)N(C(=O)C(=C2C3=CC4=C(C=C3)OCO4)C(=O)O)CC5=CC=CC=C5OC)OC,-3.415
P24530,CC(C)(C)C(C1=CC=CC=C1)NC(=O)CN2CC(C(C2C3=CC=C(C=C3)OCCOC)C(=O)O)C4=CC5=C(C=C4)OCO5.C(=O)(C(F)(F)F)O,-0.342
P24530,CCC1=CC=C(C=C1)C(C2=CC=C(C=C2)CC)(C(C(=O)O)OC3=NC(=CC(=N3)OC)C)OCCC4=CC(=C(C=C4)OC)OC,-1.602
P24530,CC1=C(ON=C1NS(=O)(=O)C2=CC=CC=C2C3=C(C=C(C=C3)C4=NC=CO4)N(C)C(=O)CC(C)(C)C)C,-2.908
P24530,CCCS(=O)(=O)NCCOC1=NC(=NC(=C1OC2=CC=CC=C2OC)NS(=O)(=O)C3=NC=C(C=C3)C(C)C)C4CC4,-1.924
P24530,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCC#CCO)OC4=CC=CC=C4OC,-2.92
P24530,CCNCC1=NC2=C(C=C1)C(C(C2C3=CC=C(C=C3)OC)C(=O)O)C4=CC5=C(C=C4)OCO5,-2.973
P24530,CCC1=CC=CC=C1C(C2=CC=CC=C2C)NC(=O)CN3CC(C(C3C4=CC=C(C=C4)OCCOC(C)C)C(=O)O)C5=CC6=C(C=C5)OCO6,-0.519
P24530,COC1=CC=C(C=C1)C2C(C(C3=C2N=C(C=C3)C4=CC=CC=C4)C5=CC6=C(C=C5)OCO6)C(=O)O,-2.114
