GPCR,smiles,STANDARD_VALUE
O43194,C1CC1CNC2=NC(=NC(=C2)C3=CC=CC=N3)NCC4=CC=C(C=C4)OC(F)(F)F,-2.778
O43194,COC1=CC=CC(=C1)C2CCN(CC2C(=O)NCCC3=CC=CC=N3)CCC4=CC=CC=C4,-3.58
O43194,CNC1=NC(=CC(=N1)NCC2=CC=NC=C2)C3=CC=CC=N3,-1.94
O43194,CNC1=NC(=CC(=N1)NCC2=C(C=C(C=C2)Cl)Cl)C3=CC=CC=N3,0.097
O43194,CNC1=NC(=CC(=N1)NCC2=CC=C(C=C2)S(=O)(=O)C)C3=CC=CC=N3,-1.556
O43194,CNC1=NC(=CC(=N1)NCC2=C(C=C(C=C2)NS(=O)(=O)C)Cl)C3=CC=CC=N3,0.367
O43194,C1=CC=NC(=C1)C2=CC(=NC(=N2)NCC(F)(F)F)NCC3=CC=C(C=C3)Cl,-1.778
O43194,[Zn+2],-0.556
O43194,CNC1=NC(=CC(=N1)NCC2CCCCC2)C3=CC=CC=N3,-1.041
O43194,CC(=O)NC1=CC(=C(C=C1)CNC2=NC(=NC(=C2)C3=CC=CC=N3)NC)F,0.171
O43194,CNC1=NC(=CC(=N1)NCC2=CC=C(C=C2)OC(F)(F)F)C3=CC=CC=N3,-1.114
O43194,Cl[Zn]Cl,-0.556
O43194,CC(=O)N(C)C1=CC=C(C=C1)CNC2=NC(=NC(=C2)C3=CC=CC=N3)NC,-3.072
O43194,CCC1=NC=C(N1)CN2CC(C(C2)C(=O)NCC3=CC=CC=C3Cl)C4=CN=CC=C4,-2.498
O43194,CNC1=NC(=CC(=N1)NCC2=CC=C(C=C2)C(=O)NC)C3=CC=CC=N3,-1.477
O43194,CC(=O)NC1=CC=C(C=C1)CNC2=NC(=NC(=C2)C3=CC=CC=N3)NC,-0.443
O43194,C1CC1CNC2=NC=NC(=C2)C3=CC=CC=N3,-4.342
O43194,CNC1=NC(=CC(=N1)NC2(CCC2)C3=CC=C(C=C3)Cl)C4=CC=CC=N4,-1.398
O43194,CNC1=NC(=CC(=N1)NCC2=CC=C(C=C2)NS(=O)(=O)C)C3=CC=CC=N3,-0.201
O43194,CCC1=NC=C(N1)CN2CC(C(C2)C(=O)NCC3=CC=CC=C3Cl)C4=CN=CC=C4,-2.712
O43194,CNC1=NC(=CC(=N1)NCC2CC2)C3=CC=CC=N3,-2.215
O43194,CC1=NC(=CC(=N1)NCC2=CC=C(C=C2)Cl)C3=CC=CC=N3,-1.908
O43194,COCCNC1=NC(=CC(=N1)NCC2CC2)C3=CC=CC=N3,-3.343
O43194,CNC1=NC(=CC(=N1)NCC2=CC=C(C=C2)Cl)C3=CC=CC=N3,-1.176
O43194,CC(C)(C)CNC1=NC(=CC(=N1)NCC2CC2)C3=CC=CC=N3,-3.699
O43194,CC(C)(C)CNC1=NC(=NC(=C1)C2=CC=CC=N2)NC,-1.863
O43194,C1CN(CCN1CC2=CN3C=C(C=CC3=N2)Cl)C4=NC=C(C=C4)C#N,-2.954
