GPCR,smiles,STANDARD_VALUE
P61073,C1CN(CCNCC2=CC=CC(=N2)CN1)CC3=CC=C(C=C3)CN4CCNCC5=NC(=CC=C5)CNCC4.Br,-3.64
P61073,CCC1=CC=C(C=C1)NCC2=CC=C(C=C2)CNC3=CC=C(C=C3)CC,-1.301
P61073,CC1=C(N=CC=C1)CN(CCCCN)C2CCCC3=C2N=CC=C3,-1.255
P61073,C1CC(C2=C(C1)C=CC=N2)N(CCCCN)CC3=NC=CC4=C3N(C5=CC=CC=C45)CC6=CN=CC=C6,-2.682
P61073,CN1C(C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C1=O)CC2=CC3=CC=CC=C3C=C2)CC4=CC=C(C=C4)O)CCCN=C(N)N)CCCN=C(N)N,-1.996
P61073,C1CC(C2=C(C1)C=CC=N2)N(CCCCN)CC3CN(CCN3)S(=O)(=O)C4=CC=CC=C4,-0.301
P61073,C1=CC=C2C=C(C=CC2=C1)CC3C(=O)NC(=O)NC(C(=O)NC(C(=O)NC(C(=O)N3)CCCN=C(N)N)CCCN=C(N)N)CC4=CC=C(C=C4)O,-0.653
P61073,CN1CCN(CC1)C2=CC=CC3=NC(=C(N32)CO)CN(C)C4CCCC5=C4N=CC=C5,-0.382
P61073,C1=CC=C2C=C(C=CC2=C1)CC3C=CC(NC(=O)C(NC(=O)C(NC(=O)NC3=O)CC4=CC=C(C=C4)O)CCCN=C(N)N)CCCN=C(N)N,-4.491
P61073,C1CC2C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2C1)CCCCN)CCCCN)CCCN=C(N)N)CC3=CC=C(C=C3)O)NC(=O)C(CC4=CC5=CC=CC=C5C=C4)NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)N)C(=O)NC(CCCNC(=O)N)C(=O)O)CCCNC(=O)N)CCCN=C(N)N)CC6=CC=C(C=C6)O,-2.651
P61073,C1CCN(C1)C2=CC=CC=C2NCC3=CC=C(C=C3)CNC4=NC=CC=N4,-2
P61073,C1CC(C2=C(C1)C=CC=N2)N(CCCN3CCNCC3)CC4=NC=C5C(=C4)C6=CC=CC=C6N5,-2.52
P61073,C1=CC=C2C=C(C=CC2=C1)NC(=NCCCCNCCCN=C(N)NC3=CC4=CC=CC=C4C=C3)N,-1.792
P61073,C1CC(C2=C(C1)C=CC=N2)N(CC3=CC=C(C=C3)CN)CC4=NC5=CC=CC=C5N4,-2.076
P61073,C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)C2=CC3=CC=CC=C3C=C2)CCCN=C(N)N)CCCN=C(N)N)CC4=CC=C(C=C4)O,-2.037
P61073,CC1C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)N1)CCCN=C(N)N)CC2=CC3=CC=CC=C3C=C2)CC4=CC=C(C=C4)O,-1.799
P61073,C1CC(C2=C(C1)C=CC=N2)N(CC3=C(C=CO3)CN)CC4=NC5=CC=CC=C5N4,-1.079
P61073,COC1=CC=C(C=C1)CN2C3CCCC2CC(C3)NC(=O)C4=CC(=C(C(=C4)OC)OC)OC,-4.759
P61073,CC1CCCCN1CCCNCC2=CC=C(C=C2)CNCCCN3CCCCC3C.Cl,-2.712
P61073,C1CCCC(CCC1)N=C(NC2CCCCC2)SCC3=CSC4=NCCN34,-1.255
