GPCR,smiles,STANDARD_VALUE
P25106,CNC(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)C3=NC(=CC=C3)C(F)(F)F,-0.602
P25106,CC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1C)CC2=CC3=CC=CC=C3C=C2)CCCN=C(N)N)CCCN=C(N)N)CC4=CC=C(C=C4)O,-4.176
P25106,CC1CC(CCN1CC2=CC(=CC=C2)NC(=O)C3=NC(=CC=C3)C(F)(F)F)C(=O)NC4CCCCC4,-1.69
P25106,CCCCN(CC)CCNC(=O)C1=CC=C(S1)N2CCC3=CC=CC=C32,-3.59
P25106,CC1=CN=CC(=C1)C(=O)NC2=CC=CC(=C2)CN3CCC(CC3)C(=O)NC4CC4,-1.914
P25106,C1CC1NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=CC=C(C=C4)F,-0.477
P25106,C1CCC(CC1)NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=C(N=CC=C4)N5CCOCC5,-2.569
P25106,C1CCC(CC1)NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=CC=CC5=CC=CC=C54,-1.663
P25106,CC(C)(C)NC(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)C(C)(C)C3=CC=C(C=C3)Cl,0
P25106,CC(C)(C)NC(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)C3(CC3)C4=CC=CC=C4,0
P25106,CC(C)(C)NC(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)C3=CC4=C(C=C3)SN=N4,-0.477
P25106,CC(C)(C)NC(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)CC3=C(C=CC=C3Cl)F,-0.301
P25106,CC1=CC=CC(=C1C)C(=O)NC2=CC=CC(=C2)CN3CCC(CC3)C(=O)NC4CCCCC4,-1.602
P25106,CC1=CN=CC(=C1)C(=O)NC2=CC=CC(=C2)CN3CCC(CC3)C(=O)N4CCC(C4)(C)C,-1.806
P25106,CC1=CC(=CC(=C1)NC(=O)C2=CC(=CN=C2)C)CN3CCC(CC3)C(=O)NC(C)(C)C,-1.881
P25106,CCN(CC)C(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)C3=CC=C(C=C3)Cl,0
P25106,C1CC(CCC1NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=CC=C(C=C4)Cl)O,-2.382
P25106,CC(=CC1=C(C=C(C=C1)F)F)CN(CCC2CCCN2C)C(=O)C3=CC4=C(C=C3)OCO4,-3.5
P25106,CC1=CC2=C(C(=CC(=O)O2)C)C(=C1)OCC(=O)NC3CCN(CC3)CC4=CC=CC=C4,-3.173
P25106,CC1=CN=CC(=C1)C(=O)NC2=CC=CC(=C2)CN3CCC(CC3)C(=O)NC4CCCC4,-0.653
P25106,C1CCC(CC1)NC(=O)C2CCN(CC2)CC3=NC(=CC=C3)NC(=O)C4=CC=C(C=C4)F,-2.223
P25106,C1CCC(CC1)NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=CC(=CN=C4)F,-0.845
P25106,C1CCC(CC1)NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)CC4CC5=CC=CC=C5C4,-1.556
P25106,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)F)CN3CCC(CC3)C(=O)NC(C)(C)C,0
P25106,CC1=NN=C(C(=C1)C(=O)NC2=CC=CC(=C2)CN3CCC(CC3)C(=O)NC(C)(C)C)Cl,-1.708
P25106,CC1=CC(=NC=C1)C(=O)NC2=CC=CC(=C2)C(C)N3CCC(CC3)C(=O)NC4CCCCC4,-1.806
P25106,CC1=C(C=C(C=C1)CN2CCC(CC2)C(=O)NC(C)(C)C)NC(=O)C3=CC(=CN=C3)C,-0.778
P25106,CN(C)C(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)C3=CC=CS3,-2.19
P25106,CCC(C)(C)NC(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)C3=NC=C(C=C3)Cl,0.097
P25106,C1CCCC(CC1)C(=O)NC2=CC=CC(=C2)CN3CCC(CC3)C(=O)NC4CCCCC4,-1
P25106,CC(C)(C)NC(=O)C1CCN(CC1)CC2=C(C=CC(=C2)NC(=O)C3=NC(=CC=C3)C(F)(F)F)F,-0.301
P25106,CC1=CN=CC(=C1)C(=O)NC2=CC=CC(=C2)CN3CCC(CC3)C(=O)N(C)CCOC,-2.35
P25106,CC(C1=CC(=CC=C1)NC(=O)C2=CN=C(C=C2)C(F)(F)F)N3CCC(CC3)C(=O)NC4CCCCC4,-1.991
P25106,C1CCC(CC1)NC(=O)C2CCN(CC2)CC3=CC(=C(C=C3)Cl)NC(=O)C4=CC=C(C=C4)Cl,-0.699
P25106,C1CN(CCC1C(=O)NC2CCOCC2)CC3=CC(=CC=C3)NC(=O)C4=CC=C(C=C4)Cl,-1.114
P25106,CC1=C(C=C(C=C1)CN2CCC(CC2)C(=O)NC(C)(C)C)NC(=O)C3=CC=C(C=C3)F,-0.477
P25106,CN1C=C(C2=CC=CC=C21)C(=O)NC3=CC=CC(=C3)CN4CCC(CC4)C(=O)NC5CCCCC5,-2.26
P25106,C1CCC(C1)NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=CC=C(C=C4)Cl,0.046
P25106,C1CCC(CC1)NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4CC4,-1.908
P25106,CC(C)(C)C1CCC(CC1)NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=CC=C(C=C4)Cl,-3.021
P25106,CC(C)(C)NC(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)C3CCC4=CC=CC=C34,-0.301
P25106,CC(C)(C)NC(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)CC3=C(C=CC(=C3Cl)F)F,-0.301
P25106,C1CCC(CC1)NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=CNC5=CC=CC=C54,-1.623
P25106,C1CC1NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=NC=CC(=C4)Cl,-1.204
P25106,C1CCC(C1)NC(=O)C2CCN(CC2)CC3=C(C=CC(=C3)NC(=O)C4=NC=C(C=C4)F)Cl,0.398
P25106,C1CCC(CC1)NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=CC=C(C=C4)C#N,-0.903
P25106,CC1=C(C=C(C=C1)CN2CCC(CC2)C(=O)NC(C)(C)C)NC(=O)C3=NC(=CC=C3)C(F)(F)F,-0.301
P25106,C1CCC(CC1)NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=CC=CC=C4Cl,-1.079
P25106,CC1=CC(=C(O1)C(F)(F)F)CNC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=CC=C(C=C4)Cl,-2.727
P25106,CC(C)(C)NC(=O)C1CCN(CC1)CC2=CSC(=C2)NC(=O)C3=CC=C(C=C3)F,-0.477
P25106,COC1=CC=CC(=C1)CNC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=CC=C(C=C4)Cl,-2.595
P25106,CC1=CC(=CC(=C1)C(=O)NC2=CC=CC(=C2)CN3CCC(CC3)C(=O)NC4CCCCC4)F,-0.602
P25106,CC(C)(C)NC(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)C3=NN=CC=C3,-0.602
P25106,CCC(C)(C)NC(=O)C1CCCN(CC1)CC2=CC(=CC=C2)NC(=O)C3=CC(=CN=C3)C,-1.833
P25106,C1CCC(CC1)NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=CC(=C(C=C4)F)F,-0.301
P25106,CC1=CC=C(S1)C(=O)NC2=CC=CC(=C2)CN3CCC(CC3)C(=O)NC4CCCCC4,-0.477
P25106,CC1=CC=CC(=N1)C(=O)NC2=CC=CC(=C2)C(C)N3CCC(CC3)C(=O)NC4CCCCC4,-0.845
P25106,CC1=NC=C(C=C1)C(=O)NC2=CC=CC(=C2)C(C)N3CCC(CC3)C(=O)NC4CCCCC4,-2.17
P25106,CNC(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)C3=CC=CS3,-2.274
P25106,CCN1CCCC1CNC(=O)C2=CC=C(S2)N3C=CC4=CC=CC=C43,-3.829
P25106,C1CCC(CC1)NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=CN=C(C=C4)C(F)(F)F,-0.845
P25106,C1CC1NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=NC=C(C=C4)F,-0.301
P25106,CCC(C)(C)NC(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)C3=[N+](C=C(C=C3)F)[O-],-0.301
P25106,C1CCC(CC1)NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)CC4=CC=CC=C4,-0.845
P25106,COC1=CC(=CC(=C1)C(=O)NC2=CC=CC(=C2)CN3CCC(CC3)C(=O)NC4CCCCC4)OC,-1
P25106,CC1=CC(=C(C=C1)C(=O)NC2=CC=CC(=C2)CN3CCC(CC3)C(=O)NC4CCCCC4)C,-0.602
P25106,C1CCC(CC1)NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4CC5CCC4C5,-0.699
P25106,CC(C)(C)NC(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)C3=CC4=CC=CC=C4N=C3,-0.301
P25106,CC1=NC=CC(=C1)C(=O)NC2=CC=CC(=C2)C(C)N3CCC(CC3)C(=O)NC4CCCCC4,-1.519
P25106,CC1CCCN(C1)CC(COC2=CC3=C(C=C2)C4=C(CCC4)C(=O)O3)O,-3.111
P25106,C1CCC(CC1)NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=CC=C(C=C4)Cl,-0.301
P25106,CC(C)(C)NC(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)C3=CN=C4C=C(C=CC4=C3)Cl,-0.699
P25106,CCC1=C(C=C(C=C1)CN2CCC(CC2)C(=O)NC(C)(C)C)NC(=O)C3=CC(=CN=C3)C,-1.447
P25106,CC1=NC=C(C=C1)C(=O)NC2=CC=CC(=C2)CN3CCC(CC3)C(=O)NC4CCCCC4,-1.279
P25106,CC(C)(C)NC(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)CC3=C(C(=CC=C3)Cl)Cl,-0.477
P25106,CC1CCN(CC1)C(CNC(=O)C2=NOC(=C2)C3=CC=C(C=C3)Br)C4=CC=CC=C4OC,-3.272
P25106,CC1=CC=C(S1)C(=O)NC2=CC=CC(=C2Cl)CN3CCC(CC3)C(=O)NC4CCCCC4,-2.587
P25106,CC(C)(C)NC(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)C3(CC3)C4=CC=C(C=C4)Cl,-0.301
P25106,C1CCC(CC1)NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=C(N=CC=C4)C(F)(F)F,-2.594
P25106,CC(C1=CC(=CC=C1)NC(=O)C2=NC=CC=N2)N3CCC(CC3)C(=O)NC4CCCCC4,-2.246
P25106,CC(C)(C)C1=CC=C(C=C1)C(=O)NC2=CC=CC(=C2)CN3CCC(CC3)C(=O)NC4CCCCC4,-1.531
P25106,CC(=CC1=CC=CC=C1)CN(CCC2CCCN2C)C(=O)C3=CC4=C(C=C3)OCCO4,-2.9
P25106,CC1=CN=CC(=C1)C(=O)NC2=CSC(=C2)CN3CCC(CC3)C(=O)NC(C)(C)C,-1.114
P25106,CC1=CC(=CC(=N1)C2CCCC2)C(=O)NC3=CC=CC(=C3)CN4CCC(CC4)C(=O)NC5CCCCC5,-1.613
P25106,CC1=CC(=NO1)C(=O)NC2=CC=CC(=C2)CN3CCC(CC3)C(=O)NC4CCCCC4,-1.255
P25106,CC1=NC=NC=C1C(=O)NC2=CC=CC(=C2)CN3CCC(CC3)C(=O)NC4CCCCC4,-2.722
P25106,CC(C1=CC=CC=C1)C(=O)NC2=CC=CC(=C2)CN3CCC(CC3)C(=O)NC(C)(C)C,-0.477
P25106,C1CC(CCC1NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=CC=C(C=C4)Cl)(F)F,-0.301
P25106,CC(C)(C)NC(=O)C1CCN(CC1)CC2=CSC(=C2)NC(=O)CC3=CC=CC=C3Cl,-1.613
P25106,C1CCC(CC1)NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=CSC=C4,-0.602
P25106,CC1=CN=CC(=C1)C(=O)NC2=CC=CC(=C2)CN3CCC(CC3)C(=O)NCC4CC4,-1.301
P25106,CC1=CN=CC(=C1)C(=O)NC2=CC=CC(=C2)CN3CCC(CC3)C(=O)N4CCC(C4)(F)F,-2.037
P25106,C1CCC(CC1)CNC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=CC=C(C=C4)Cl,-1.663
P25106,CCN1CCCC1CNC(=O)CN2C3=CC=CC=C3SC(=CC4=CC=CC=C4F)C2=O,-3.792
P25106,CC1=NC=C(C=C1)C(=O)NC2=CC=CC(=C2)CN3CCC(CC3)C(=O)NC4CC4,-2.161
P25106,C1CCC(C1)NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=CC5=C(C=C4)N=CC=C5,-0.477
P25106,CC(C)(C)NC(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)CC3=C(C=CC(=C3Cl)Cl)F,-0.602
P25106,CN(C)C1=CC=CC(=C1)C(=O)NC2=CC=CC(=C2)CN3CCC(CC3)C(=O)NC4CCCCC4,-1.863
P25106,CC(C)(C)NC(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)C3=NC4=C(C=C3)C=NC=C4,-0.301
P25106,C1CCC(CC1)NC(=O)C2CCN(CC2)CC3=CC(=NC=C3)NC(=O)C4=CC=C(C=C4)F,-1.38
P25106,CC(C)(C)NC(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)C3=CC(=CN=C3)C(F)(F)F,0
P25106,CC(C)(C)NC(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)C=CC3=CC=CC=C3,-0.903
P25106,C1CCC(C1)CNC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=CC=C(C=C4)Cl,-0.602
P25106,CC(C1=CC(=CC=C1)NC(=O)C2=C(C=NC=C2)Cl)N3CCC(CC3)C(=O)NC4CCCCC4,-2.747
P25106,CC(C1=CC(=CC=C1)NC(=O)C2=CC=CC=N2)N3CCC(CC3)C(=O)NC4CCCCC4,-1.079
P25106,C1CCC(CC1)NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=CC(=CC(=C4)Cl)F,-0.602
P25106,CC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CC2=CC3=CC=CC=C3C=C2)CCCN=C(N)N)CCCN=C(N)N)CC4=CC=C(C=C4)O,-4.255
P25106,CC(C1=CC=CC2=CC=CC=C21)NC(=O)C3CCN(CC3)CC4=CC(=CC=C4)NC(=O)C5=CC=C(C=C5)Cl,-2.543
P25106,CCC(C)NC(=O)C1CCCN(CC1)CC2=CC(=CC=C2)NC(=O)C3=CC(=CN=C3)C,-1.519
P25106,CC(C)(C)NC(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)C3=[N+](C=C(C=C3)C(F)(F)F)[O-],-0.903
P25106,C1CCC(CC1)NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=C(C=CC(=C4)Cl)Cl,-0.903
P25106,CC1CC(CCN1CC2=CC(=CC=C2)NC(=O)C3=NC(=CC=C3)C(F)(F)F)C(=O)NC4CCCCC4,-0.602
P25106,CC(=CC1=CC(=CC(=C1)F)C(F)(F)F)CN(CCC2CCCN2C)C(=O)C3=CC(=C(C=C3)OC)OC,-3.7
P25106,CC(C)(C)NC(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)C(C)(C)C3=CC=CC=C3,0
P25106,CCC(C)(C)NC(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)C3=[N+](C=C(C=C3)C(F)(F)F)[O-],-1.204
P25106,CC(C1=CC(=CC=C1)NC(=O)C2=CC=C(C=C2)OC)N3CCC(CC3)C(=O)NC4CCCCC4,-1.398
P25106,C1CCC(CC1)NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=C(C(=CC=C4)F)F,-0.699
P25106,CC(C)(C)NC(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)C=CCN(C)C,-2.334
P25106,C1CCC(CC1)NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=C(C=CC(=C4)C(F)(F)F)F,-0.845
P25106,CC(=CCN(CCC1CCCN1C)C(=O)C2=CC(=C(C(=C2)OC)OC)OC)C3=CC=CC=C3,-1.1
P25106,COC1=CC=C(C=C1)CNC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=CC=C(C=C4)Cl,-2.92
P25106,CC(C)CCNC(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)C3=NC(=CC=C3)C(F)(F)F,-0.699
P25106,COC1=CN=CC(=C1)C(=O)NC2=CC=CC(=C2)CN3CCC(CC3)C(=O)NC4CCCCC4,-1
P25106,CCC1CCCCN1CCCNC(=O)CSC2=CC(=O)N(C3=C2C=C(C=C3)Cl)C,-3.334
P25106,CN1CCCC1CCN(CC=CC2=CC=CC=C2)C(=O)C3=CC(=C(C(=C3)OC)OC)OC,-2.9
P25106,CC1=CC=C(C=C1)C(=O)NC2=NC=C(S2)CN3CCC(C3)C4=CC=CC=C4,-3.638
P25106,CC(C)(C)NC(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)C3=NC4=CC=CC=C4N=C3,-0.477
P25106,COC1=CC=C(C=C1)C(=O)NC2=C(C=CC(=C2)CN3CCC(CC3)C(=O)NC4CCCCC4)Cl,-1.146
P25106,C1CN(CCC1C(=O)NCC2=CC=CC=C2)CC3=CC(=CC=C3)NC(=O)C4=CC=CS4,-2.892
P25106,C1CCN2C(C1)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C2=O)CC3=CC4=CC=CC=C4C=C3)CCCN=C(N)N)CCCN=C(N)N)CC5=CC=C(C=C5)O,-4.114
P25106,CC1=NC=CC(=C1)C(=O)NC2=CC=CC(=C2)CN3CCC(CC3)C(=O)NC4CCCCC4,-1
P25106,CC(C)C(CO)NC(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)C3=NC(=CC=C3)C(F)(F)F,-1.94
P25106,CC(C)(C)NC(=O)C1CCN(CC1)CC2=C(C(=CC=C2)NC(=O)C3=NC(=CC=C3)C(F)(F)F)OC,-1.653
P25106,CC1=C(N=C(S1)C)CC(=O)NC2=CC=CC(=C2)CN3CCC(CC3)C(=O)NC(C)(C)C,-0.301
P25106,CC(C)NC(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)C3=CC=C(C=C3)Cl,0.097
P25106,CC1=NC(=C(C=C1)C(=O)NC2=CC=CC(=C2)CN3CCC(CC3)C(=O)NC4CCCCC4)Cl,-1.602
P25106,C1CCC(CC1)NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=[N+](C=C(C=C4)F)[O-],-0.602
P25106,CCC(C)NC(=O)C1CCCN(CC1)CC2=CC(=CC=C2)NC(=O)C3=NC(=CC=C3)C(F)(F)F,-0.778
P25106,C1CCC(CC1)C(=O)NC2=CC=CC(=C2)CN3CCC(CC3)C(=O)NC4CCCCC4,-1
P25106,CC1=NC=CC(=C1)C(=O)NC2=CC=CC(=C2)CN3CCC(CC3)C(=O)NC4CC4,-1.748
P25106,C1CN(CCC1C(=O)NCC2=CN=CC=C2)CC3=CC(=CC=C3)NC(=O)C4=CC=C(C=C4)Cl,-2.21
P25106,CC1(CC1C(=O)NC2=CC=CC(=C2)CN3CCC(CC3)C(=O)NC(C)(C)C)C,-0.845
P25106,C1CCC(CC1)NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=CC=CC=C4OC(F)(F)F,-0.699
P25106,CC1=CN=CC(=C1)C(=O)NC2=CC=CC(=C2)CN3CCCC(CC3)C(=O)NC(C)C,-2.053
P25106,C1CCC(CC1)C(CO)NC(=O)C2CCN(CC2)CC3=CC(=CC=C3)NC(=O)C4=NC(=CC=C4)C(F)(F)F,-2.634
P25106,C1CCC(CC1)NC(=O)C2CCN(CC2)CC3=C(C=CC(=C3)NC(=O)C4=NC(=CC=C4)C(F)(F)F)F,-0.477
P25106,C1CCC(C1)NC(=O)C2CCN(CC2)CC3=C(C=CC(=C3)NC(=O)C4=NC(=CC=C4)C(F)(F)F)Cl,-0.301
P25106,CC(C)CN(C)C(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)C3=CC(=CN=C3)Cl,-0.778
P25106,CC1(C(C1(C)C)C(=O)NC2=CC=CC(=C2)CN3CCC(CC3)C(=O)NC(C)(C)C)C,0.046
P25106,CC(C)(C)NC(=O)C1CCN(CC1)CC2=CC(=CC=C2)NC(=O)C3=NC=C(C=C3)C(F)(F)F,0.301
P25106,CC(C1=CC(=CC=C1)NC(=O)C2=NC(=CC=C2)C(F)(F)F)N3CCC(CC3)C(=O)NC4CCCCC4,-0.845
