GPCR,STANDARD_VALUE,smiles
P47900,CSC1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)([O-])OP(=O)(CP(=O)([O-])OP(=O)([O-])OCC4C(C(C(O4)N5C=NC6=C5N=C(N=C6N)SC)O)O)[O-])O)O.[Na+].[Na+].[Na+].[Na+],-2.663
P47900,CCC1C(C(C2=CC=CC=C2N1C(=O)NC3=CC(=CC=C3)OC)NC4=CC=CC=C4)C,-3.021
P47900,CNC1=NC(=NC2=C1N=CN2C3CC(C4(C3C4)COP(=O)(O)O)OP(=O)(O)O)C#C,-1.97
P47900,CC1(CN(C2=C(C=CC(=C21)C3=CC=C(C=C3)F)O)C4=CC=CC=C4NC(=O)NC5=CSC(=N5)Cl)C,-0.69
P47900,C1C(C(SC1N2C=NC3=C2N=CN=C3N)COP(=O)(O)O)OP(=O)(O)O,-4.086
P47900,CCC1(CN(C2=C(C=CC(=C21)F)O)C3=CC=CC=C3NC(=O)NC4=CC=C(C=C4)C5CCN(CC5)CC(C)C)CC,-0.908
P47900,CC(C)(C)CN1CCC2(CC1)CN(C3=C2C(=CC(=C3O)F)C4=CC=C(C=C4)F)C5=CC=CC=C5NC(=O)NC6=CC=C(C=C6)OC(F)(F)F,-1.061
P47900,CNC1=NC(=NC2=C1N=CN2C3CC(C(O3)COP(=O)(O)O)OP(=O)(O)O)I,-3.426
P47900,CC1(CN(C2=C(C=CC(=C21)C3=CC=C(C=C3)F)O)C4=CC=CC=C4NC(=O)NC5=CC=C(C=C5)C6CCCN6CC(C)(C)C)C,-1.653
P47900,C1CC(OC1COP(=O)(O)OP(=O)(O)OP(=O)(O)O)N2C=NC3=C2N=CN=C3N,-1
P47900,CCC1=CC=CC=C1N2C(=CC(=N2)C)OC3=CC=CC=C3NC(=O)NC4=CC=CC=C4,-2.845
P47900,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)Cl)O)C4=CC=CC=C4NC5=NN=C(S5)C6=CC=C(C=C6)OC(F)(F)F,-1.114
P47900,CCC1=CC=CC=C1N2C(=CC(=N2)C)OC3=CC=CC=C3NC(=O)NC4=CC=C(C=C4)OC,-2.748
P47900,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O,-1.38
P47900,CCC1(CN(C2=C(C=CC(=C21)Cl)O)C3=CC=CC=C3NC(=O)NC4=NC(=NS4)C(C)C)CC,-0.845
P47900,CC1(CN(C2=C(C=CC(=C21)C3=CC(=CN=C3)OC)O)C4=CC=CC=C4NC(=O)NC5=CC=C(C=C5)OC(F)(F)F)C,-0.996
P47900,CC(C)(C)CN1CCC2(CC1)CN(C3=C2C(=C(C=C3O)F)C4=CN=C(C=C4)C(F)(F)F)C5=CC=CC=C5NC(=O)NC6=NC7=C(S6)C=C(C=C7)F,-1.614
P47900,CCC1(CN(C2=C(C=CC(=C21)Cl)O)C3=CC=CC=C3NC(=O)NC4=NC5=C(S4)C=C(C=C5)F)CC,-0.82
P47900,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)Cl)O)C4=CC=CC=C4NC5=NN=C(C=C5)C6=CC=CC=C6,-2.708
P47900,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)Cl)O)C4=CC=CC=C4NC(=O)NC5=NC6=C(S5)CN(CC6)CC(F)(F)F,-1.045
P47900,CC(C)(C)C1=CC=CC=C1OC2=C(C=CC=N2)NC(=O)NC3=C(C=C(C=C3)F)F,-1.255
P47900,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)F)O)C4=CC=CC=C4NC(=O)NC5=NC6=C(S5)N=C(C=C6)F,-0.845
P47900,CC1=C(C(=NN1C)C)C2=C(C=C(C3=C2C(CN3C4=CC=CC=C4NC(=O)NC5=CC=C(C=C5)OC(F)(F)F)(C)C)O)F,-1.283
P47900,CCC1=CC=C(C=C1)NC(=O)NC2=CC=CC=C2N3CC(C4=C(C=CC(=C43)O)F)(CC)CC,-0.491
P47900,CC(C)(C)C1=CC=CC=C1OC2=C(C=CC=N2)NC3=NOC(=N3)C4=CC=CC=C4,-2.613
P47900,CSC1=NC2=C(C(=N1)N)N=CN2C3CC(C(O3)COP(=O)(O)O)OP(=O)(O)O,-3.086
P47900,CCC1C(C(C2=CC=CC=C2N1C(=O)NC3=CC(=CC(=C3)OC)OC)NC4=CC=CC=C4)C,-2.699
P47900,CC(C)CN1CCC(CC1)COC2=CC(=C(C=C2)NC(=O)NC3=C(N=CC=C3)OC4=CC=CC=C4C(C)(C)C)F,-1.477
P47900,C1=CC(=CC(=C1)OC2=C(C=CC=N2)NC(=O)NC3=CC(=CC(=C3)Cl)Cl)C(F)(F)F,-2.228
P47900,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)C(F)(F)F)O)C4=CC=CC=C4NC5=NN=C(S5)C6=CC(=CC=C6)F,-1.079
P47900,CC1(CN(C2=C1C(=C(C=C2O)F)C3=CC=C(C=C3)C(C)(C)C)C4=CC=CC=C4NC(=O)NC5=CSC(=N5)C(F)(F)F)C,-1.307
P47900,CCC1CC(C2=CC=CC=C2N1C(=O)C3=CC=C(C=C3)OC)NC4=CC=CC=C4,-3.301
P47900,CC1(CN(C2=C1C(=C(C=C2O)F)C3CC3)C4=CC=CC=C4NC(=O)NC5=CC=C(C=C5)OC(F)(F)F)C,-1.262
P47900,CC1(CN(C2=C(C=CC(=C21)C3=CC=C(S3)Cl)O)C4=CC=CC=C4NC(=O)NC5=CC=C(C=C5)OC(F)(F)F)C,-2.053
P47900,CC1(CN(C2=C1C(=C(C=C2O)F)C3=CC=C(C=C3)F)C4=CC=CC=C4NC(=O)NC5=CC=C(C=C5)OC(F)(F)F)C,-0.826
P47900,CC1(CN(C2=C(C=CC(=C21)Br)O)C3=CC=CC=C3NC(=O)NC4=NC5=C(S4)C=C(C=C5)Br)C,-1.442
P47900,CC(C)CCN1C=C(C=N1)C2=C(C=C(C3=C2C(CN3C4=CC=CC=C4NC(=O)NC5=CC=C(C=C5)OC(F)(F)F)(C)C)O)F,-1.124
P47900,CCC1C(C(C2=CC=CC=C2N1C(=O)C3=CC=C(C=C3)Cl)NC4=CC=CC=C4)C,-2.929
P47900,CC1(CN(C2=C1C(=C(C=C2O)F)C3=CC=C(C=C3)Cl)C4=CC=CC=C4NC(=O)NC5=NC6=C(S5)N=C(C=C6)Cl)C,-1.425
P47900,C1CN(CC2=C1C(=CC=C2)OC3=C(C=CC=N3)NC(=O)NC4=CC=C(C=C4)OC(F)(F)F)CC5=CC(=CC=C5)O,-3.342
P47900,C1CN(CCC12CN(C3=CC=CC=C23)C4=CC=CC=C4NC(=O)NC5=CC=C(C=C5)OC(F)(F)F)C(=O)OCC6=CC=CC=C6,-1.327
