GPCR,STANDARD_VALUE,smiles
P46093,-1.74,CCC1=NC2=C(N1CC3=CC=C(C=C3)C=CCN4CCN(CC4)C(C)C)N=C(C=C2C)C
P46093,-2.114,CCC1=NC2=C(N1CC3=CC4=C(C=C3)NC5=C(CC4)C=C(C=C5)CN6CCN(CC6)C)N=C(C=C2C)C
P46093,-1.38,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)C=CCC4(CCN(CC4)CC(CO)O)O)C)C
P46093,-1.633,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)N4C=C(C=N4)CN5CCNCC5)C)C
P46093,-2.959,CCC1=NC2=C(N1CC3=CC4=C(C=C3)NC5=CC=CC=C5S4)N=C(C=C2C)C
P46093,-1.279,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)C=CCN4CCNC(C4)C)C)C
P46093,-1.643,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)OCCN4CCN(CC4)C(=O)OC(C)(C)C)C)C
P46093,-1.415,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)N4C=C(C=N4)CN5CCC(CC5)N)C)C
P46093,-1.708,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)C=CCN4CCN(CC4)C(=O)C(CO)NC)C)C
P46093,-1.771,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)OCCN4CCNC(C4)COC)C)C
P46093,-2.041,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)OCCC4(CCNCC4)O)C)C
P46093,-1.531,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)C=CCC4(CN(C4)C(=O)OC(C)(C)C)O)C)C
P46093,-1.643,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)C=CCC4(CCNCC4)O)C)C
P46093,-1.519,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)C=CCN4CCC(CC4)C5=NN=NN5C)C)C
P46093,-1.322,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)N4C=C(C=N4)CN5CC(C5)N)C)C
P46093,-1.732,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)CCC(=O)N4CCN(CC4)C(=O)OC(C)(C)C)C)C
P46093,-1.869,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)C4=NN=C(O4)C5CCNCC5)C)C
P46093,-2.072,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)N4C=C(C=N4)CN5CC(C5)O)C)C
P46093,-1.908,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)C=CC(=O)N4CCN(CC4)C)C)C
P46093,-1.653,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)C=CC4(CCN(CC4)C(=O)OC(C)(C)C)O)C)C
P46093,-1.342,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)OCC4CCNCC4)C)C
P46093,-1.279,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)OCC4CCN(CC4)C(=O)C5C(CCN5)O)C)C
P46093,-1.58,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)C=CCN4CCN(CC4)C(=O)CN)C)C
P46093,-1.176,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)C4=NN=C(O4)C5CCN(CC5)C(=O)C(CO)NC)C)C
P46093,-1.886,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)N4C=C(N=N4)CC5(CCN(CC5)C(=O)OC(C)(C)C)O)C)C
P46093,-1.531,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)C=CCC4(CCN(CC4)C(=O)CN(C)C(=O)OC(C)(C)C)O)C)C
P46093,-1.447,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)C=CCN4CCNC(C4)CO)C)C
P46093,-1.114,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)CCCN4CCN(CC4)C(C)C)C)C
P46093,-1.477,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)C=CCN4CCN(CC4)CC(CO[Si](C)(C)C(C)(C)C)O)C)C
P46093,-1.58,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)N4C=C(N=N4)CN5CCNCC5)C)C
P46093,-1.519,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)C=CCN4CCNC(C4)COC)C)C
P46093,-2.954,CCC1=NC2=C(N1CC3=CC4=C(C=C3)NC5=CC=CC=C5CC4)N=C(C=C2C)C
P46093,-1.176,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)C=CCC4(CCNC(C4)C)O)C)C
P46093,-1.672,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)CCCC4(CCN(CC4)C(=O)OC(C)(C)C)O)C)C
P46093,-0.845,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)C=CCN4CCN(C(C4)CN(C)C)C)C)C
P46093,-1,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)C=CCN4CCNCC4)C)C
P46093,-1.544,CCC1=NN2C(=CC(=NC2=C1CC3=CC=C(C=C3)C=CCN4CCN(CC4)C(=O)C5C(CCN5)O)C)C
P46093,-1.826,CCC1=NC2=C(N1CC3=CC4=C(C=C3)NC5=C(CC4)C=C(C=C5)CN6CCCCC6)N=C(C=C2C)C
