GPCR,smiles,STANDARD_VALUE
P25090,CC(C)CCNC(=O)C1C2C=CC(C1C(=O)NC3=CC=C(C=C3)Br)C24CC4,-1.301
P25090,CCCC(=O)NC1=C(C=CC(=C1)C2=CN3C=CC=NC3=N2)OC,-4.262
P25090,CNCCNC(=O)C1C2C=CC(C1C(=O)NC3=NC=C(S3)Br)C24CC4,-1.991
P25090,CC(C)OC1=CC=C(C=C1)CNC(=O)C2C3C=CC(C2C(=O)NCCCCN4CCCC4)C35CC5.C(=O)O,-3.859
P25090,C1CCN(C1)CCCCNC(=O)C2C3C=CC(C2C(=O)NCC4=CSC(=C4)Br)C35CC5,-1.519
P25090,C1CC2C(C(C1C23CC3)C(=O)NCCC(=O)N)C(=O)NC4=NC=C(S4)Br,-1.176
P25090,C1CCN(C1)CCCCNC(=O)C2C3C=CC(C2C(=O)NC4=CC5=C(C=C4)NC=C5)C36CC6,-3.87
P25090,CC(=O)C1=CSC(=N1)CNC(=O)C2C3C=CC(C2C(=O)NCCCN4CCCC4)C35CC5,-2.146
P25090,C1CCN(C1)CCCCNC(=O)C2C3C=CC(C2C(=O)NC4=NC5=C(S4)C=C(C=C5)F)C36CC6,-3.881
P25090,CC1=C(C=C(C=C1)NC(=O)NC2=C(N(N(C2=O)C3=CC=CC=C3)C)C(C)(C)C)F,-1.919
P25090,C1CCN(C1)CCCCNC(=O)C2C3C=CC(C2C(=O)NC4=NC=C(C=C4)Br)C35CC5,-0.998
P25090,C1CCN(C1)CCCCNC(=O)C2C3C=CC(C2C(=O)NCC4=C(C=CC(=C4)C(F)(F)F)F)C35CC5,-3.999
P25090,CC1=NN(C(=O)C(=C1)C(=O)C2=CC(=CC=C2)OC)CC(=O)NC3=CC=C(C=C3)Br,-3
P25090,C1CC2C(C(C1C23CC3)C(=O)NCCC(=O)N)C(=O)NCC4=CN=C(C=C4)Br,-0.898
P25090,CCOC(=O)N1CCN(CC1)C2=CC(=C3C4=C(C5=CC=CC=C5C3=O)ON=C24)NCCC(=O)O,-4.602
P25090,CC1=NN(C(=O)C(=C1)CC2=CC(=CC=C2)OC)C(C)C(=O)NC3=CC=C(C=C3)Br,-2.778
P25090,C1CCN(C1)CCCCNC(=O)C2C3C=CC(C2C(=O)NCC4=C(C=C(C=C4F)F)F)C35CC5,-3.188
P25090,CCC1=CC=C(C=C1)NC(=O)NC2=C(N(N(C2=O)C3=CC=CC=C3)C)C,-2.886
P25090,CC(C)C1=CC(=CC(=C1O)C(C)C)CN2CCN(CC2)C(=O)C,-1.602
P25090,CCCCOC1=CC=C(C=C1)C(=O)NN2C(NC3=CC=CC=C3C2=O)C4=CC=C(C=C4)O,-3.82
P25090,CC(C)(C1=COC(=N1)CN2N=CC(=N2)NC(=O)C3=C(SC=N3)C4=CC(=CC=C4)F)O,-1.915
P25090,CC(=O)C1=NC(=CS1)CNC(=O)C2C3C=CC(C2C(=O)NCCCCN4CCCC4)C35CC5,-3.509
P25090,C1CCN(C1)CCCCNC(=O)C2C3C=CC(C2C(=O)NC4=CC(=C(C=C4)Br)F)C35CC5,0.06
P25090,CC(C)(C)CCNC(=O)C1C2C=CC(C1C(=O)NC3=CC=C(C=C3)Br)C24CC4,-2.164
P25090,C1CC(=O)N(C1)CCCC(=O)NCC2C3C=CC(C2C(=O)NC4=CC=C(C=C4)Br)C35CC5,-1.672
P25090,CCN1CCC(CC1)C(=O)NCC2C3C=CC(C2C(=O)NC4=CC=C(C=C4)Br)C35CC5,-2.117
P25090,C1CC12C3C=CC2C(C3C(=O)NCCC(=O)N)C(=O)NCC4=CN=C(S4)Br,-2.946
P25090,C1CCN(C1)CCCCNC(=O)C2C3C=CC(C2C(=O)NCC4=CC(=CC=C4)OC(F)F)C35CC5,-3.94
P25090,COC1=C(C=C(C=C1)CCNC(=O)C2C3C=CC(C2C(=O)NCCCCN4CCCC4)C35CC5)Br.C(=O)O,-4.013
P25090,CC1=NN(C(=O)C(=C1)CC2=CC=C(C=C2)C(=O)N)CC(=O)NC3=CC=C(C=C3)Br,-4.435
P25090,C1CC12C3C=CC2C(C3C(=O)NCCC4=CC=C(C=C4)S(=O)(=O)N)C(=O)NC5=CC=C(C=C5)Br,-1.362
P25090,CC(=O)C1=CSC(=N1)CNC(=O)C2C3C=CC(C2C(=O)NCCN(C)C)C34CC4,-1.813
P25090,CCN1C(=CC(=N1)CCNC(=O)C2C3C=CC(C2C(=O)NC4=CC=C(C=C4)Br)C35CC5)C,-1.38
P25090,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)NC3=CC=C(C=C3)SC,-2.23
P25090,COC1=C(C=C(C=C1F)CNC(=O)C2C3C=CC(C2C(=O)NCCCCN4CCCC4)C35CC5)F.C(=O)O,-2.076
