GPCR,STANDARD_VALUE,smiles
Q96LB2,-1.3,CC1=C(C=CC=C1NC(=O)C2=CC=C(C=C2)C3=CC=CC=C3)CN4C(=O)C=C(C=N4)N5CCNCC5
Q96LB2,-2.12,CC1=C(C=CC=C1NC(=O)C2=CC=C(C=C2)C3=CC4=C(C=C3)N=CC=C4)CN5C(=O)C(=C(C=N5)N6CCNCC6)Cl
Q96LB2,-3.92,C1CN(CCN1)C2=C(C(=O)N(N=C2)CC3=CC(=CC=C3)NC(=O)C4=CC=C(C=C4)C5=CC=CC=C5)Cl
Q96LB2,-2.117,COC1=CC=CC=C1C(C=C2C3CCN(C2C(C4=CC=CC=C4)C5=CC=CC=C5)CC3)O
Q96LB2,-4.3,CC1=C(C=CC=C1NC(=O)C2=CN=CC=C2)CN3C(=O)C(=C(C=N3)N4CCNCC4)Cl
Q96LB2,-2.885,C1CN2CCC1C(C2C(C3=CC=CC=C3)C4=CC=CC=C4)NCC5=CC=CC=C5C(F)(F)F
Q96LB2,-2.387,CCN(CC1=CC=NC=C1)C(=O)CN2CCN(CC2)C3=NC(=NC=C3)NCCC4=CC=C(C=C4)Cl
Q96LB2,-2.806,C1=CC=C2C(=C1)C(=NC(=N2)NCCC3=CC=C(C=C3)Cl)NCCC4=CC=C(C=C4)S(=O)(=O)N
Q96LB2,-2.572,C1CN2CCC1C(C2C(C3=CC=CC=C3)C4=CC=CC=C4)OC(=O)NC5=CC=CC=C5Cl
Q96LB2,-2.724,CC(CN(C)C)NC(=O)C1CCN(CC1)S(=O)(=O)C2=CC3=C(C=C2)N=C(N=C3N4CCCC4)NCCC5=CC=C(C=C5)Cl
Q96LB2,-3.33,CC1=C(C=CC=C1NC(=O)C2=CC=C(C=C2)C3=CN=C(C=C3)OC)CN4C(=O)C(=C(C=N4)N5CCC(C5)NC)Cl
Q96LB2,-2.301,CC1=CC(=CC(=C1)C(C=C2C3CCN(C2C(C4=CC=CC=C4)C5=CC=CC=C5)CC3)O)C
Q96LB2,-3.4,C1=CC=C(C=C1)OC2=CC=CC(=C2)C3=NC4=C(N3C(CCCN=C(N)N)C(=O)N)C=CC(=C4)C(=O)NC5=CC6=C(C=C5)C=NN6
Q96LB2,-2.32,C1CN2CCC1C(C2C(C3=CC=CC=C3)C4=CC=CC=C4)OCC5=CC=CC(=C5)C#N
