GPCR,smiles,STANDARD_VALUE
Q2NNR5,C1=CC=C2C(=C1)C=CC(=N2)COC3=CC4=C(C=CC(=C4)C(=O)NCCC5=CC=C(C=C5)C(=O)O)C=C3,-0.021
Q2NNR5,C1=CC=C2C(=C1)C=CC(=N2)COC3=CC=C(C=C3)C4=CC(=O)C5=C(O4)C(=CC=C5)C(=O)O,-2.721
Q2NNR5,C1=CC=C2C(=C1)C=CC(=N2)COC3=CC=C(C=C3)OCC4=CC=C(C=C4)CC5=NNN=N5,-0.929
Q2NNR5,CC(C)C1=C(SC(=N1)C=CC2=CC(=CC=C2)C(CCC3=CC=CC=C3C(C)(C)O)SCC4(CC4)CC(=O)O)Cl,-2.23
Q2NNR5,CC1=CC=CC=C1S(=O)(=O)NC(=O)C2=CC(=C(C=C2)CC3=CN(C4=C3C=C(C=C4)NC(=O)OC5CCCC5)C(=O)N(C6=CC=CC=C6)C7=CC=CC=C7)OC,-0.301
Q2NNR5,CCC(CSC(CCC1=CC=CC=C1C2=NN=NN2C)C3=CC(=CC=C3)OCC4=NC5=C(C=CC(=C5)Cl)C=C4)C(=O)[O-].[Na+],0.398
Q2NNR5,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,-3
Q2NNR5,C1=CC=C2C(=C1)C=CC(=N2)COC3=CC4=C(C=CC(=C4)CN5C=CC6=C5C=CC(=C6)C(=O)O)C=C3,-1.477
Q2NNR5,C1=CC=C2C(=C1)C=CC(=N2)COC3=CC(=CC=C3)OCCCCC4=NNN=N4,-1.875
Q2NNR5,C1=CC=C2C(=C1)C=CC(=N2)COC3=CC4=C(C=CC(=C4)OCCCC5=CC=C(C=C5)C(=O)O)C=C3,-0.748
Q2NNR5,CCCC(CC)C(=O)NC1=CC2=C(C=C1)N(C=C2CC3=C(C=C(C=C3)C(=O)O)OC)C,-3.262
