GPCR,smiles,STANDARD_VALUE
P32249,CC1=C(C=C(C=C1)C=CC(=O)N2CCN(CC2)C(=O)CC3=CC=CC=C3)F,-1.23
P32249,COC1=CC=C(C=C1)C=CC(=O)N2CCN(CC2)C(=O)C3=CC=C(C=C3)C(=O)OC,-1.23
P32249,C1CN(CCN1C(=O)C=CC2=CC=C(C=C2)Br)C(=O)C3=CC=C(C=C3)Cl,0.388
P32249,CC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)C(=O)C=CC3=CC=C(C=C3)F,-0.885
P32249,CC1=CC=CC=C1C=CC(=O)N2CCN(CC2)S(=O)(=O)C3=CC=C(C=C3)Br,-2.272
P32249,C1CN(CCN1C(=O)C=CC2=CC=C(C=C2)Br)C(=O)C3=CC=CC=C3,0.208
P32249,CC1=CC=C(C=C1)CN2CCN(CC2)C(=O)C=CC3=CC=C(C=C3)Br,-0.248
P32249,C1CN(CCN1C(=O)C=CC2=CC=C(C=C2)Br)C(=O)C3=CC=C(C=C3)C#N,-0.241
P32249,CC1=C(C=CC(=C1)C(=O)N2CCN(CC2)C(=O)C=CC3=CC=C(C=C3)OC)Cl,-1.114
P32249,C1CN(CCN1C(=O)C=CC2=CC=C(C=C2)F)S(=O)(=O)C3=CC=C(C=C3)F,-1.267
P32249,COC1=CC=C(C=C1)C=CC(=O)N2CCN(CC2)C(=O)C3=CC4=C(C=C3)OCC4,-1.255
P32249,C1CN(CCN1C(=O)C=CC2=CC=C(C=C2)F)S(=O)(=O)C3=CC=CC=C3C#N,-1.683
P32249,C1CN(CCN1C(=O)C=CC2=C(C=C(C=C2)Cl)F)S(=O)(=O)C3=CC=CC=C3,-2.265
P32249,C1CN(CCN1C(=O)CC2=CC=CC=C2)C(=O)C=CC3=CC=C(C=C3)Br,-1.322
P32249,CCCC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)C(=O)C=CC3=CC=C(C=C3)F,-1.382
P32249,COC1=CC=C(C=C1)C=CC(=O)N2CCN(CC2)C(=O)C3=CC=C(C=C3)Br,-1.833
P32249,CC(CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)CO,-3.481
P32249,C1CN(CCN1CC2=CC=C(C=C2)Cl)C(=O)C=CC3=CC=CC=C3.C(=O)O,-1.993
P32249,CC(C)C1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)C(=O)C=CC3=CC=C(C=C3)F,-1.386
P32249,C1CN(CCN1C(=O)C=CC2=CC=CC=C2C(F)(F)F)S(=O)(=O)C3=CC=C(C=C3)Br,-2.491
P32249,C1CN(CCN1C(=O)C=CC2=CC=C(C=C2)F)S(=O)(=O)C3=CC=C(C=C3)[N+](=O)[O-],-1.111
P32249,C1CN(CCN1C(=O)C=CC2=C(C=C(C=C2)Br)F)S(=O)(=O)C3=CC=C(C=C3)Br,-1.816
P32249,C1COC2=C1C=C(C=C2)C(=O)N3CCN(CC3)C(=O)C=CC4=CC=C(C=C4)Cl,-1.204
P32249,CC(C)(C)C1=CC=C(C=C1)CN2CCN(CC2)C(=O)C=CC3=CC=C(C=C3)Br,-0.971
