GPCR,smiles,STANDARD_VALUE
P08912,C[N+]1(CCCC1C2CSC(O2)(C3CCCCC3)C4=CC=CC=C4)C.[I-],0.97
P08912,CCN1CCC(=C(C1)C(=O)OCCCCC2=CC=CC=C2)C3=CC=CC=C3,-2.925
P08912,CC1=CC=C(O1)C2CCC[N+]2(C)C.[I-],-3.98
P08912,C1CC(C2=CC=CC=C2C1C3=CC(=C(C=C3)Cl)Cl)N,-3.58
P08912,CCCOC(=O)C1CN(CC=C1C2=CC=CC=C2)CC.C(=O)(C(=O)O)O,-3.052
P08912,CCOC1=NOC2=C1CNCCC2,-3.322
P08912,CN1CCCC1C2=CC=C(O2)C(C3CCCCC3)(C4=CC=CC=C4)O,-3.19
P08912,CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C,-1.895
P08912,CCN1CCN(CC1)C2=C(C=C(C=C2)NC(=O)C3=CC(=CC=C3)C(F)(F)F)Cl,-3.613
P08912,CN1CCCC(C1)CN2C3=CC=CC=C3SC4=CC=CC=C42,-1.531
P08912,C1=CC(=CC=C1CN2C3=C(C=C(C=C3)OC(F)(F)F)C(=O)C2=O)OC(F)(F)F,-3.27
P08912,C[N+]1(CCCC1C2CS(=O)C(O2)(C3=CC=CC=C3)C4=CC=CC=C4)C,-1.783
P08912,CCCCCCCCCOC(=O)C1=C(CCN(C1)CC)C2=CC=CC=C2,-1.93
P08912,CC1=CC(=NO1)OCC#CC[N+](C)(C)C,-3.8
P08912,CCN1CCC(=C(C1)C(=O)OCC(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4.C(=O)(C(=O)O)O,-3.493
P08912,C1=CC2=C(C(=C1)F)N(C(=O)C2=O)CC3=CC=C(C=C3)Br,-3.286
P08912,C1C2C3CC4C2C5C1C3C(C45)NCCC6=CC=CC=N6,-3.764
P08912,CCN1CC=C(C(C1)C(=O)OCC2CCCCC2)C3=CC=CC=C3.C(=O)(C(=O)O)O,-2.331
P08912,CCN1CCC(=C(C1)C(=O)OCCC2=CC(=C(C=C2)OC)F)C3=CC=CC=C3,-3.391
P08912,C1=CC(=CC=C1CN2C3=C(C=C(C=C3)OC(F)(F)F)C(=O)C2=O)C4=CN=C(C=C4)F,-3.556
P08912,CC1=CC2=C(CC(=C2C(C)C3=CC=CC=N3)CCN(C)C)C=C1,-3.77
P08912,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,-2.952
P08912,C[N+]1(CCCC1C2CS(=O)C(O2)(C3CCCCC3)C4=CC=CC=C4)C,-2.395
P08912,COC1=CC=CC=C1CN2CCC(CC2)C3CCN(CC3)CCCCCCCCN4CCC(CC4)C5CCN(CC5)CC6=CC=CC=C6OC,-2.021
P08912,CN(C)CCC=C1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,-1.398
P08912,CC(C)OC1=CC=C(C=C1)C(=O)N2CCN3C2(C4=CC=CC=C4C3=O)C5=CC6=C(C=C5)OCO6,-3.041
P08912,C[N+]1(CCCC1C2=CC=C(O2)C(C3CCCCC3)(C4=CC=CC=C4)O)C,-2.94
P08912,C1CCC(CC1)C(CCN2CCCCC2)(C3=CC=CC=C3)O,-1.079
P08912,CC1=C(CN(CC1)C)C2=NSN=C2SC,-5
P08912,C1CCN(C1)CCOC(=O)N2C3=CC=CC=C3SC4=CC=CC=C42,-0.778
P08912,CN(C)CC1COCC(O1)(C2=CC=CC=C2)C3=CC=CC=C3.C(=O)(C(=O)O)O,-0.73
P08912,CCN(C(C)C1=CC=CC=C1)C(=O)C2CCN(CC2)S(=O)(=O)C3=CC4=C(C=C3)OC=C4,-2.969
P08912,CC1COC(CO1)C[N+](C)(C)C,-4.97
P08912,C[N+]1(CCCC1C2=CC=CO2)C,-4.37
P08912,CN1CCC(=C(C1)C(=O)OCCC2=CC(=C(C=C2)OC)OC)C3=CC=CC=C3,-3.35
P08912,CC1OC(CS1=O)C2CCC[N+]2(C)C,-4.66
P08912,CCCCOC(=O)C1=C(CCN(C1)CC)C2=CC=CC=C2.C(=O)(C(=O)O)O,-2.406
P08912,CC1COC(CO1)C[N+](C)(C)C.[I-],-4.8
P08912,C1CN(CCC1(C2=CC=C(C=C2)Br)O)CCCC(=O)C3=CC=C(C=C3)F,-3.681
P08912,CCN(CC1=CC=CC=C1)C(=O)C2CCN(CC2)S(=O)(=O)C3=CC=C(C=C3)OC,-3.519
P08912,C1CN(CCN1CCCC(C2=CC=CC=C2)(C3=CC=CC=C3)O)C4=CC=CC=C4.Cl,-5.09
P08912,CCN1CCC(=C(C1)C(=O)OCCC2CCCCC2)C3=CC=CC=C3.C(=O)(C(=O)O)O,-1.75
P08912,CCCCN1CCC(CC1)COC(=O)C2=CC(=C(C3=C2OCCO3)NC)Cl,-2.988
P08912,CC(C1=CC=CC=N1)C2=C(CC3=CC=CC=C32)CCN4CCCCC4,-3.37
P08912,C1CN(CCC1CCCCCCCCCCCCCO)CCCN2C(=O)CCC3=CC=CC=C32,-2.53
