GPCR,smiles,STANDARD_VALUE
Q7Z601,CCOCC1=C(C=NN1C2=NC=C(C(=N2)N3CCC3)C)C(=O)NCC4=CN=CN4C,-1.447
Q7Z601,CCC(C)C1=C(C=NN1C2=NC=C(C(=N2)C3=CC=CS3)C)C(=O)NCC4=CC=NC=C4,-3.079
Q7Z601,CCOCC1=C(C=NN1C2=NC=C(C(=N2)NC3CCC3)C)C(=O)NCC4=CN=CN4C,-1.398
Q7Z601,C1=CC=C(C=C1)CC(C(=O)NC2=CC(=CNC2=O)C3=CC=NC=C3)NCC4=CN=CN4,-2.041
Q7Z601,C1=CC(=CC=C1CC(C(=O)NC2=CC(=CNC2=O)C3=CC=NC=C3)N)C#N,-3.663
Q7Z601,C1=CC=C(C=C1)CC(C(=O)NC2=CC(=CNC2=O)C3=CC=NC=C3)NCC4=CN=CS4,-2.471
Q7Z601,C1=CC=C(C=C1)CC(C(=O)NC2=CC=CC(=C2)C3=CC=NN3)NCC4=CSC=N4,-1.826
Q7Z601,CCCCC1=C(C=NN1C2=NC=C(C(=N2)C3=CC=CS3)C)C(=O)NCC4=CN=CN4CC(=O)O,0.699
Q7Z601,COC1=C(C=C(C=N1)C2=CC=NC=C2)NC(=O)C(CC3=CC=CC=C3)NC4(CC4)C5=CC=CC=N5,-2.544
Q7Z601,COC1=C(C=C(C=C1)NC(=O)C(CC2=CC=CC=C2)NCC3=CSC=N3)C4=CC=NC=C4,-2.785
Q7Z601,CN1C=C(C=N1)C2=CC(=CC=C2)NC(=O)C(CC3=CC=CC=C3)NCC4=CSC=N4,-2.255
Q7Z601,CNC1=NC=CC(=C1)C2=NN(C(=C2)NC(=O)C(CC3=CC=C(C=C3)F)NCC4=CN=CS4)C,-1.69
Q7Z601,CN1C=CC(=N1)CNC(CC2=CC=CC=C2)C(=O)NC3=CC(=CNC3=O)C4=CC=NC=C4,-2.322
Q7Z601,C1=CC=C(C=C1)CC(C(=O)NC2=CC=CC(=C2)C3=CNN=C3)NCC4=CSC=N4,-2.255
Q7Z601,CC1=CC=C(C=C1)CC(C(=O)NC2=CC(=CNC2=O)C3=CC=NC=C3)N,-3.82
Q7Z601,CC1=NC=CN1C2=CC=C(C=C2)C3=CN(N=N3)CC(=O)N(C)C4=C(C(=CC=C4)Cl)Cl,-3.699
Q7Z601,CC1=NC=CN1C2=CC=C(C=C2)C3=CN(N=N3)CC(=O)NC4=C(C(=CC=C4)Cl)Cl,-1.267
Q7Z601,CCC1=C(C=NN1C2=NC=C(C(=N2)C3=CC=CS3)C)C(=O)NCC4=CC=NC=C4,-3
