GPCR,smiles,STANDARD_VALUE
Q5NUL3,C1=CC(=CC(=C1)C(F)(F)F)CNC2=CC=C(C=C2)CCC(=O)O,-3.83
Q5NUL3,CC1=C(C=CC(=C1)OCCCC(=O)O)C2=C(C=CC(=C2)OC(F)(F)F)Cl,-2.405
Q5NUL3,C1CC2(CCC1CC(=O)O)CCN(CC2)C3=C(C=CC(=C3)OC(F)(F)F)Cl,-1.82
Q5NUL3,CC1=C(C(=CC=C1)C)C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F,-3.92
Q5NUL3,C1=CC=C(C=C1)C#CC2=CC=C(C=C2)CCC(=O)O,-3.93
Q5NUL3,C1CC2(CCC1CC(=O)O)CCN(CC2)C3=CC(=CC(=C3)C#N)SC(F)(F)F,-2.623
Q5NUL3,C1CC1C(=O)C2=CC(=C(C=C2)F)C3=CC4=C(C=C3)OC(=C4)CCC(=O)O,-1.987
Q5NUL3,CC1=C(C=CC(=C1)C2=C(C=CC(=C2)OC(F)(F)F)Cl)OCCCC(=O)O,-2.267
Q5NUL3,C1=CC=C2C(=C1)C(=O)N(C2=O)C3=CC(=CC(=C3)F)OC4=CN=CC=C4,-3.7
Q5NUL3,C1=CC=C(C(=C1)COC2=CC=C(C=C2)CCC(=O)O)Br,-3.24
Q5NUL3,C1=CC2=C(C=C1C3=C(C=CC(=C3)OC(F)(F)F)Cl)C=C(O2)CCC(=O)O,-2.009
Q5NUL3,CCCCCCCCCCCCCC(=O)O,-3.8
Q5NUL3,CC1=CC(=C(C(=C1C(=O)O)O)CC=C(C)CCC=C(C)CCC=C(C)C)O,-4.05
Q5NUL3,COC1=CC(=NC(=C1F)C2=CC3=C(C=C2)OC(CC3)C4CC4C(=O)O)OC5CCC5,-1.111
Q5NUL3,CC1=CC(=C(C(=C1)C)NS(=O)(=O)C2=CC=C(C=C2)C(=O)C)C,-3.9
Q5NUL3,CC1=CC(=CC(=C1NS(=O)(=O)C2=CC=C(C=C2)OC)C)F,-3
Q5NUL3,C1C(OC2=C1C=C(C=C2)C3=C(C=CC(=C3)OC(F)(F)F)F)CCC(=O)O,-2.029
Q5NUL3,CC1=CC(=C(C(=C1)C)NS(=O)(=O)C2=CC=CC(=C2)OC)C,-4.1
Q5NUL3,COC1=CC(=NC(=C1F)C2=CC3=C(C=C2)OC(CC3)CCC(=O)O)OC4CCC4,-1.025
Q5NUL3,CC1=CC=CC=C1C2=CC(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O,-3.94
Q5NUL3,C1C2=CC=CC=C2S(=O)(=O)N1C3=CC(=CC=C3)OC4=CC=CC=C4,-2.356
Q5NUL3,CC1=CC=CC=C1C2=CC(=CC=C2)CNC3=CC=C(C=C3)CCC(=O)O,-3.8
Q5NUL3,CC1=CC(=C(C(=C1)C)NS(=O)(=O)C2=CC=C(C=C2)OC(C)C)C,-3.3
Q5NUL3,C1=CC=C(C=C1)OC2=CC=CC(=C2)COC3=CC=C(C=C3)CCC(=O)O,-2.75
Q5NUL3,C1=CC(=CC=C1C2=C(C=CC(=C2)OC(F)(F)F)Cl)OCCCC(=O)O,-1.756
Q5NUL3,C1CC2(CCC1CC(=O)O)CCN(CC2)C3=CC(=CC(=C3F)Cl)F,-2.959
Q5NUL3,C1CC2=C(C=CC(=C2)C3=C(C=CC(=C3)OC(F)(F)F)F)OC1CCC4=NNN=N4,-2.785
Q5NUL3,C1CC(C1)OC2=CC=CC(=C2)C3=CC4=C(C=C3)OC(=C4)CCC(=O)O,-2.185
Q5NUL3,C1C2=CC=CC=C2S(=O)(=O)N1C3=CC(=CC(=C3)F)OC4=CC=NC=C4,-3.17
Q5NUL3,C1C2=CC=CC=C2S(=O)(=O)N1C3=CC(=CC(=C3)F)OC4=CC=CC(=C4)CC#N,-3.72
Q5NUL3,C1=CC=C(C=C1)C#CC2=C(C=C(C=C2)CCC(=O)O)F,-3.76
Q5NUL3,COC1=C(C(=CC(=C1)OC2CCC2)C3=CC4=C(C=C3)OC(CC4)CCC(=O)O)F,-1.079
Q5NUL3,C1CC2=C(C=CC(=C2)C3=CC(=CC(=C3F)Cl)OC(F)(F)F)OC1CCC(=O)O,-1.648
Q5NUL3,C1CC(C1)OC2=NC(=C(C=C2)F)C3=CC4=C(C=C3)OC(CC4)CCC(=O)O,-1.407
Q5NUL3,C1=CC=C(C(=C1)C2=CC=C(C=C2)OCCCC(=O)O)C(F)(F)F,-3.912
Q5NUL3,C1=CC=C(C(=C1)CCC#N)C#CC2=CC(=C(C=C2)CCC(=O)O)F,-3.14
Q5NUL3,C1=CC(=CC(=C1)CC#N)C#CC2=CC(=C(C=C2)CCC(=O)O)F,-3.59
Q5NUL3,CS(=O)(=O)CCCOCC1=CC=CC=C1C#CC2=CC(=C(C=C2)CCC(=O)O)F,-2.477
Q5NUL3,C1=CC=C(C=C1)CCC#CC2=CC=C(C=C2)CCC(=O)O,-3.68
Q5NUL3,C1CC(C1)OC2=CC(=C(C(=C2)C3=CC4=C(C=C3)OC(CC4)CCC(=O)O)F)F,-1.23
Q5NUL3,C1=CC=C(C=C1)CNC2=CC=C(C=C2)CCC(=O)O,-4.76
Q5NUL3,C1CC2(CCC1CC(=O)O)CCN(CC2)C3=C(C=CC(=C3)OC(F)(F)F)F,-2.618
Q5NUL3,CC1=C(C(=CC=C1)C)C2=CC(=CC=C2)CNC3=CC(=C(C=C3)CCC(=O)O)F,-4.97
Q5NUL3,CC1=C(C=C(C=C1)C#N)C#CC2=CC(=C(C=C2)CCC(=O)O)F,-3.98
Q5NUL3,CC(C1CCC2(CC1)CCN(CC2)C3=C(C=CC(=C3)OC(F)(F)F)Cl)C(=O)O,-3.597
Q5NUL3,C1=CC=C(C=C1)OC2=CC=C(C=C2)COC3=CC=C(C=C3)CCC(=O)O,-4.22
Q5NUL3,C1=CC(=CC(=C1)COC2=CC=C(C=C2)CCC(=O)O)C#N,-4.32
Q5NUL3,C1CC2(CCC1CC(=O)O)CCN(CC2)C3=NC=CC(=C3)C(F)(F)F,-3.789
Q5NUL3,C1=CC=C(C=C1)N(CCOC2=CC=C(C=C2)CCCC(=O)O)C3=NC=CS3,-3.23
Q5NUL3,COC1=C(C(=CC(=C1)OC2CCC2)C3=CC4=C(C=C3)OC(CC4)C5CC5C(=O)O)F,-1.217
Q5NUL3,CC=C(C)C#CC1=CC(=C(C=C1)CCC(=O)O)F,-4.3
Q5NUL3,CC1=CC=C(C=C1)C2=C(C=C(C=C2)Cl)COC3=CC=C(C=C3)CCC(=O)O,-2.71
Q5NUL3,C1CC(C1)OC2=CC(=C(C(=C2)C3=CC4=C(C=C3)OC(CC4)CCC(=O)O)F)Cl,-1.383
Q5NUL3,C1=CC=C(C=C1)C2=CC=CC=C2CNC3=CC=C(C=C3)CCC(=O)O,-4.71
Q5NUL3,C1=CC=C(C=C1)OC2=CC=CC(=C2)C3=CC=C(C=C3)OCCCC(=O)O,-2.23
Q5NUL3,C1=CC(=CC(=C1)F)OC2=CC(=C(C=C2)Cl)C3=CC=C(C=C3)OCCCC(=O)O,-2.297
Q5NUL3,C1C2=CC=CC=C2S(=O)(=O)N1C3=CC(=CC(=C3)F)OC4=CC=CC=C4C#N,-4.21
Q5NUL3,CC(=C(C)C#CC1=CC=C(C=C1)CCC(=O)O)C,-3.88
Q5NUL3,C1=CC(=CN=C1)OC2=CC(=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)F)F,-4.22
Q5NUL3,C1=CC=C(C(=C1)COC2=CC=C(C=C2)CCC(=O)O)C3=CC=C(C=C3)C(F)(F)F,-3.31
Q5NUL3,CC1=CC(=C(C(=C1)C)NS(=O)(=O)C2=CC=CC=C2)C,-4.1
Q5NUL3,CC(CC1=CC2=C(O1)C=CC(=C2)C3=C(C=CC(=C3)OC(F)(F)F)F)C(=O)O,-1.919
Q5NUL3,C1CCC(CC1)C#CC2=CC=C(C=C2)CCC(=O)O,-3.98
Q5NUL3,C1CC2=C(C=CC(=C2)C3=C(C=CC(=C3)OC(F)(F)F)F)OC1CCC(=O)O,-1.971
Q5NUL3,CC1=CC=C(C=C1)C2=C(C=C(C=C2)F)COC3=CC=C(C=C3)CCC(=O)O,-1.98
Q5NUL3,C1=CC=C(C(=C1)COC2=CC=C(C=C2)CCC(=O)O)C3=CC=C(C=C3)Cl,-2.49
Q5NUL3,CCCCCCCCC=CCCCCCCCC(=O)O,-4.3
Q5NUL3,C1=CC(=CC(=C1)F)OC2=CC(=C(C=C2)F)C3=CC=C(C=C3)OCCCC(=O)O,-1.778
Q5NUL3,C1=CC=C(C=C1)N(CCOC2=CC=C(C=C2)CCCC(=O)O)C3=CC=CC=N3,-3.079
Q5NUL3,C1C2=CC=CC=C2S(=O)(=O)N1C3=CC(=CC(=C3)Cl)OC4=CC=CC=N4,-1.602
Q5NUL3,C1C2=CC=CC=C2S(=O)(=O)N1C3=CC(=CC(=C3)F)OC4=CN=CC=C4,-2.48
Q5NUL3,CC1=CC(=C(C(=C1)C)NS(=O)(=O)C2=CC3=C(C=C2)OCCO3)C,-2.5
Q5NUL3,C1CC1OC2=CC(=C(C=C2)F)C3=CC=C(C=C3)OCCCC(=O)O,-1.82
Q5NUL3,COC1=C(C(=CC(=C1)OC2CC2)C3=CC4=C(C=C3)OC(CC4)CCC5=NNN=N5)F,-1.618
