GPCR,smiles,STANDARD_VALUE
P41146,CCCCNCCN1CN(C2(C1=O)CCN(CC2)C3CCCC4=C3C=C(C=C4)Cl)C5=CC=CC=C5,-1.201
P41146,CC1=CC(=C(C=C1)Cl)OC(C)C(CN2CCC(CC2)N3C4=CC=CC=C4NC3=O)O,-2.923
P41146,CC(C)C1CCC(CC1)N2CCC3(CC2)C4=C(CN(C3=O)C)C=C(C=C4)F,-0.949
P41146,CC1=C(N(N=C1CNC2CCC(C2)F)C)C3=CC(=CC(=C3)F)C(F)(F)F,-2.322
P41146,C1CN(CCC1(C2=CC=CC=C2)O)C(C3=CC=CC=C3)C4=CC=CC=C4Br,-1.041
P41146,CC1=NC2=C(C=C(C=C2)NC(=O)C3=CC=CC=C3COC4=CC(=CC=C4)Cl)C(=C1)N,-1.305
P41146,C1CC2CC(CC1N2C(C3=CC=CC=C3Cl)C4=CC=CC=C4Cl)(CN)C5=CC=CC=N5,-0.845
P41146,CC1(CCCCCCC1)N2CCC(CC2)N3C4=CC=CC=C4N=C3C5=CC(=CC=C5)C(F)(F)F,-0.5
P41146,CC(C)CC(C(=O)NC(C)C(=O)NC(CC(=O)N)C(=O)NC(CCC(=O)N)C(=O)N)NC(=O)C(CCCCN)NC(=O)C(CCCN=C(N)N)NC(=O)C(C)NC(=O)C(CO)NC(=O)C(CCCCN)NC(=O)C(CCCN=C(N)N)NC(=O)C(C)NC(=O)CNC(=O)C(C(C)O)NC(=O)C(CC1=CC=C(C=C1)F)NC(=O)CNC(=O)CNC(=O)C(CC2=CC=CC=C2)N,0.727
P41146,CN(C)CC1(CCC(CC1)(C2=CC=CC=C2)N(C)C)C3=CC=CC=C3,-2.011
P41146,CCC(C)(CC)SC1=NC2=CC(=C(C=C2N1)Cl)N3CCN(CC3)CCO,0.032
P41146,CC1=CC=CC=C1C2CCN(CC2)CCC(=O)N3C(CC4=CC=CC=C43)C(=O)N(C)C,-1.784
P41146,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CC4=CC5=C(C=C4Cl)OCO5,-1.58
P41146,CCN1C(=NC(=C1C2=CC=C(C=C2)Cl)C3=C(C=C(C=C3)Cl)Cl)CNC4CCCC4,-2.204
P41146,CC(C)(C)C1(CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3)O,-1.792
P41146,CC(C)CCN1CN(C2(C1=O)CCN(CC2)C(C3=CC=CC=C3Cl)C4=CC=CC=C4Cl)C5=CC=CC=C5,-1.748
P41146,CC(C)NC(=O)C(CC1=CC=CC=C1F)CN2CCC3(CC2)C4=C(CCO3)C=C(S4)F,0.636
P41146,CC1=C(C=C(N1C2=CC=C(C=C2)Cl)C3=C(C=C(C=C3)Cl)Cl)CNC4CCCC4,-2.301
P41146,CC1=CC=C(C=C1)C(C2(CC34CCC2(C5C36CCN(C4CC7=C6C(=C(C=C7)O)O5)CC8CC8)OC)C)O,-1.748
P41146,C1CCN(C1)CC2(CC3CCC(C2)N3C(C4=CC=CC=C4Cl)C5=CC=CC=C5Cl)CC6=CC=CC=C6,-2.064
P41146,CC(C)(C)NCC(CN1CN(C2(C1=O)CCN(CC2)CCC3=CC=CC=C3C4=CC=CS4)C5=CC=CC=C5)O,-1.612
P41146,CC1=C(C=C(C=C1)OC)OC(CCN2CCC(CC2)N3C4=CC=CC=C4N(C3=O)CC(=O)OC)C(C)C,-1.803
P41146,CCNCCN1CN(C2(C1=O)CCN(CC2)CC3=C(C=CC=C3Cl)Cl)C4=CC=CC=C4,0.155
P41146,C1CCCC(CCC1)CN2CCC(CC2)C3=CNC4=C3C=CC=C4Cl,-2.82
P41146,CC1=C(C=C(C=C1)OC)OC(CCN2CCC(CC2)N3C4=CC=CC=C4N(C3=O)CC5=CSC=N5)C(C)C,-0.08
P41146,CCC(C)C(C(=O)NC(CCCCN)C(=O)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC1=CC=C(C=C1)O)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CCCN=C(N)N)NC(=O)C,-1.169
P41146,CCCCNCCN1CN(C2(C1=O)CCN(CC2)C3CCC(C4=CC(=C(C=C34)Cl)Cl)(C)C)C5=CC=CC=C5,-1.086
P41146,CC(C)(C)C1CCC(CC1)N2CCC(CC2)(C3=CC=CC=C3F)C(=O)N,-2
P41146,CC1=C(C=C(C=C1)[N+](=O)[O-])OC(CCN2CCC(CC2)N3C4=CC=CC=C4NC3=O)C(C)C,-2.338
P41146,CNC(=O)CN1CC2=CC=CC=C2N(S1(=O)=O)C3CCN(CC3)C4CCCCCCCCC4,-0.462
P41146,CC(C(C(=O)NCC(=O)NC(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCCN)C(=O)NC(CO)C(=O)NC(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCCN)C(=O)N)NC(=O)C(CC1=CC=C(C=C1)O)NC(=O)CNC(=O)CNC(=O)C(CC2=CC=CC=C2)N)O,-2.13
P41146,CN(C)C1(CCC(CC1)(C2=CC=CC=C2)N(C)CC3=CC=CC=C3)C4=CC=CC=C4,-1.723
P41146,CN(C)CC1(CC2CCC(C1)N2C(C3=CC=CC=C3Cl)C4=CC=CC=C4Cl)CC5=CC=CC=C5,-1.74
