GPCR,smiles,STANDARD_VALUE
Q9GZN0,CCCC(C)COC1=CC=C(C=C1)C(CO)NC(=O)N(CC)CC2=CC=CC=C2,-3.176
Q9GZN0,CCC(C)C(CN(C1=CC=C(C=C1)C2=CC=CC=C2)C(=O)C3CC3C4=CSC(=N4)C)N,-3.176
Q9GZN0,CCC(C)COC1=CC(=C(C(=C1)C)C(CO)NC(=O)C(C)C2=CC=CC=C2)C,-2.23
Q9GZN0,C1C(C1C(=O)NC(CO)C2=CC3=CC=CC=C3C=C2)C4=CC=CC=C4,-3.398
Q9GZN0,CC(C)CC(CN(C1=CC=C(C=C1)C2=CC(=CC=C2)OC)C(=O)C3CC3C4=CC=CC=C4)N,-3.041
Q9GZN0,CCCC(C)COC1=CC=C(C=C1)C(CNCC(C)CC)NC(=O)C(C)C2=CC=CC=C2,-2
Q9GZN0,CCCC1=CC=C(C=C1)C2=CC=C(C=C2)N(CC(C(C)CC)N)C(=O)C3CC3C4=NC(=CC=C4)F.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,-0.477
Q9GZN0,CCC(C)C(CN(C1=CC=C(C=C1)C2=CC=C(C=C2)COC(C)(C)C)C(=O)C3CC3C4=CC=CC=C4)N,-2.447
Q9GZN0,CC(C)CC(CN(C1=CC=C(C=C1)C2=CC=C(C=C2)OC)C(=O)C3CC3C4=CC=CC=C4)N,-2.519
Q9GZN0,CCC(C)C(CN(C1=CC=C(C=C1)C2=CC=CC=C2)C(=O)C3CC3C4=COC=C4)N,-2.763
Q9GZN0,CCCC(C)COC1=CC=C(C=C1)C(CO)NC(=O)CC2=CC=CC=C2,-2.689
Q9GZN0,CC1=CC=C(C=C1)C2=CC(=C(C=C2)C(CO)NC(=O)C3CC3C4=CC=CS4)OC,-1.792
Q9GZN0,CCCC(C)COC1=CC=C(C=C1)C(CN)NC(=O)C(C)C2=CC=CC=C2.Cl,-2.619
Q9GZN0,CCCC(C)COC1=CC=C(C=C1)C(CNCC2CCCN2)NC(=O)C(C)C3=CC=CC=C3,-2
Q9GZN0,CCC(C)C(CN(C1=CC=C(C=C1)C2=CC=C(C=C2)C#CC)C(=O)C3CC3C4=CC=CC=N4)N.C(=O)(C(F)(F)F)O,-0.477
Q9GZN0,CC(C)CC(CN(C1=CC=C(C=C1)C2=CC=CC=C2)C(=O)C3CC3C4=CC=CC=C4)NC,-0.301
Q9GZN0,CC(C)(CN(C1=CC=C(C=C1)C2=CC=CC=C2)C(=O)C3CC3C4=CC=CC=C4)N,-0.146
Q9GZN0,C1CC(CNC1)CN(C2=CC=C(C=C2)C3=CC=CC=C3)C(=O)C4CC4C5=CC=CC=C5,-1
Q9GZN0,CCC(C)C(CN(C1=CC=C(C=C1)C2=CC=C(C=C2)CNC)C(=O)C3CC3C4=CC=CC=C4)N,-3.806
Q9GZN0,CCC(C)COC1=CC=C(C=C1)C(CO)NC(=O)C(C)C2=CC=CC=C2,-2.279
Q9GZN0,CCC(C)COC1=CC=C(C=C1)C(CN)NC(=O)C(C)C2=CC=CC=C2,-1.591
Q9GZN0,CCCC(C)COC1=CC=C(C=C1)C(CO)NC(=O)C2CC2C3=CC=CC=C3,-2.863
Q9GZN0,CC1=CC=C(C=C1)C2=CC=C(C=C2)N(CC(CC(C)C)N)C(=O)C3CC3C4=CC=CC=C4,-2.556
Q9GZN0,CC(C)CC(CN(C1=CC=C(C=C1)C2=CC=CC(=C2)C#N)C(=O)C3CC3C4=CC=CC=C4)N,-3.653
