GPCR,smiles,STANDARD_VALUE
Q8TDS4,CC1(C(=O)C=C(O1)C(=O)O)C2=CN=CC=C2,-4.519
Q8TDS4,COC1=C(C(=C(C=C1)C=CC(=O)NC2=C(CCCC2)C(=O)O)Cl)OC,-4.42
Q8TDS4,C1CC2=C(CC1C3=CC=CC=C3F)C(=NN2)C(=O)O,-3.368
Q8TDS4,C=CC1C2C1C3=C(C2)C(=NN3)C(=O)O,-3.111
Q8TDS4,C1C(CC2=C1C(=NN2)C(=O)O)C3=CC=CS3,-2.38
Q8TDS4,C1=CC(=CC(=C1)F)CN(CC2=CC(=CC=C2)F)C3=NNC(=C3)C(=O)O,-3.97
Q8TDS4,COCCC1=CC(=NN1)C(=O)O,-4.086
Q8TDS4,C1CN(CCN1C2=NC3=CC=CC=C3C=N2)C(=O)NC4=CC=CC=C4C(=O)O,-3.892
Q8TDS4,CCC1=CC(=O)OC2=C1C(=O)NC(=N2)OCC3=CC=CC=C3C4=CC=CC(=C4)C#N,-2.377
Q8TDS4,CC1(C(=O)C=C(O1)C(=O)O)C2=CC(=CC(=C2)F)F,-3.415
Q8TDS4,CC1CCC(=C(C1)NC(=O)C(C)CC2=NN(C=C2)C3=NC=C(C=C3)O)C(=O)O,-1.964
Q8TDS4,CCCCCCC1=CC(=O)OC2=C1C(=O)NC(=O)N2,-1.447
Q8TDS4,C1=CC=C(C(=C1)C(=O)O)NC(=O)CCC2=NN(C=C2)C3=NC=C(C=C3)O,-2.832
Q8TDS4,CCCC1CCC(=C(C1)NC(=O)C(C)CC2=NN(C=C2)C3=NC=C(C=C3)O)C(=O)O,-1.842
Q8TDS4,CC1=CN=C(C=[N+]1[O-])C(=O)O,-3.724
Q8TDS4,C1CC(=C(CC1C#N)C(=O)O)NC(=O)CCC2=CC3=C(C=C2)C=C(C=C3)O,-3.724
Q8TDS4,C1=CC=C(C=C1)CCOCC2=NC(=O)C3=C(N2)N=CC=C3,-2.826
Q8TDS4,C1CC2=C(CC1C3=C(N=CC=C3)F)C(=NN2)C(=O)O,-2.929
Q8TDS4,CC1C2C1C3=C(C2)C(=NN3)C(=O)O,-3.068
Q8TDS4,CC1(C(=O)C=C(O1)C(=O)O)C2=CC(=CS2)Br,-2.869
Q8TDS4,CCC1=CC(=O)OC2=C1C(=O)NC(=N2)CF,-2.525
Q8TDS4,C1C(CC2=C1C(=NN2)C3=NNN=N3)C4=CC=C(C=C4)Cl,-3.699
Q8TDS4,C1CN(CCN1C2=NC3=CC=CC=C3C=C2)C(=O)NC4=CC=CC=C4C(=O)O,-3.623
Q8TDS4,CCCC1=CC(=NN1)C2=NNN=N2,-3.89
Q8TDS4,CC1(C(=O)C=C(O1)C(=O)O)C2=CSC=C2,-3.38
Q8TDS4,C1CCC(=C(C1)C(=O)O)NC(=O)C=CC2=CC3=C(C=C2)OCCO3,-3.833
Q8TDS4,C1=CC=C(C(=C1)C(=O)O)NC(=O)CCC2=CN(N=C2)C3=CC=C(C=C3)O,-2.27
Q8TDS4,C1C2C1C3=C(C2)C(=NN3)C4=NNN=N4,-1.653
Q8TDS4,COCC1C2C1C3=C(C2)C(=NN3)C4=NNN=N4,-3.262
Q8TDS4,CCC1=CC(=O)OC2=C1C(=O)NC(=N2)C(F)F,-2.548
Q8TDS4,C1CC2=C(C1)NN=C2C(=O)O,-2.934
Q8TDS4,C1=CC(=CC=C1CCC(=O)NC2=C(C=CS2)C(=O)O)C3=CC=C(C=C3)O,-2.021
Q8TDS4,C1=C(C=NS1)C(=O)O,-3.176
Q8TDS4,C1=CC2=C(NC(=NC2=O)C(F)(F)F)N=C1,-3.176
Q8TDS4,CC1=CC=CC=C1OCCCOC2=NC(=O)C3=C(N2)N=CC=C3,-2.653
Q8TDS4,C1CN(CCN1C2=C(C=NC=C2Cl)Cl)C(=O)NC3=CC=CC=C3C(=O)O,-4.301
Q8TDS4,CC1=C(C=NC2=C(C=NN12)C3=CC=C(C=C3)C(C)C)C(=O)NC(CC4=CC=CC=C4)COC,-3.146
Q8TDS4,C1C(CC2=C1C(=NN2)C3=NNN=N3)C4=CC(=CC(=C4)F)F,-1.845
Q8TDS4,CC(CC1=NN(C=C1)C2=NC=C(C=C2)O)C(=O)NC3=C(CCC(C3)C4=CC(=C(C(=C4)F)F)F)C(=O)O,-1.74
Q8TDS4,CCC1=C(C(=NN1)C(=O)O)C,-3.47
Q8TDS4,CCC1C2C1C3=C(C2)C(=NN3)C(=O)O,-1.518
Q8TDS4,COC1=CC=CC2=NC=C(N=C21)N3CCN(CC3)C(=O)NC4=CC=CC=C4C(=O)O,-4.041
Q8TDS4,CC1=C(C(=NO1)C)C2=CC=C(C=C2)CCC(=O)NC3=CC=CC=C3C(=O)O,-3.531
Q8TDS4,C1CC(C1)CC2=CC(=O)OC3=C2C(=O)NC(=N3)C(F)F,-2.914
