GPCR,smiles,STANDARD_VALUE
Q9HC97,CC1=CC(=CC(=[N+]1CC2CCCO2)C)C=C3N(C4=CC=CC=C4S3)C,-3.158
Q9HC97,CN1CC=C2C(C1)C(C(C(=C2C#N)N)(C#N)C#N)C3=CSC=C3,-2.996
Q9HC97,CCOC1=CC=C(C=C1)C=NNC(=O)CC2=CSC(=N2)NC3=CC=CC(=C3)C(F)(F)F,-3.322
Q9HC97,CC1=C(SC2=C1SC=C2Br)C(=O)O,-2.041
Q9HC97,COC1=CC(=C(C=C1)C(=O)NC2=C3C(=CC(=C2)Br)C(=O)C=C(O3)C(=O)O)F,-0.466
Q9HC97,CN(C1=CC=CC=C1)S(=O)(=O)C2=CC=C(C=C2)NC(=S)NC(=O)C=CC3=CC=CC=C3OC,-4.505
Q9HC97,CCN1C2=CC=CC=C2SC1=CC(=CC3=[N+](C4=CC=CC=C4S3)CC)C,-3.004
Q9HC97,C1=CC(=CC(=C1)Cl)C2=C(NC3=CC(=C(C=C32)O)O)C(=O)O,-4.266
Q9HC97,CC1CCN(CC1)CC2=C(N=NN2C3=NON=C3N)C(=O)NN=CC(=CC4=CC=CC=C4)C,-4.505
Q9HC97,C1OC2=C(O1)C=C(C=C2)C=C3C(=O)N(C(=S)S3)CCCC(=O)NC4=CC=CC(=C4)C(=O)O,-3.129
Q9HC97,CCCN1C2=C(N=C1SCC(=O)NC3=NC4=C(S3)CCCC4)N(C(=O)N(C2=O)C)C,-3.988
Q9HC97,C1COCCN1C(=O)C2=CC=CC=C2C(=O)NC3=CC4=C(C=C3)N=C(S4)SCC5=CC=CC=C5,-3.661
Q9HC97,CCCCN1C(=NC2=C1C(=O)N(C(=O)N2C)C)CN3CCN(CC3)C4=CC(=CC=C4)Cl,-3.674
Q9HC97,C1CC1COC2=CC=C(C=C2)C(=O)NC3=CC=CC4=C3OC(=CC4=O)C(=O)O,-3.569
Q9HC97,C1=CC(=CC=C1C2=C(NC3=CC(=C(C=C32)O)O)C(=O)O)C(=O)O,-4.223
Q9HC97,CCN1CCN(CC1)C2=CC3=CC(=C(C#N)C#N)CCC3CC2,-3.222
Q9HC97,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,-5.181
Q9HC97,C1=CC=C(C(=C1)C(=O)O)NC(=O)C2=CC(=CC=C2)NC(=O)C=CC3=CC=CO3,-2.699
Q9HC97,CC(C(=O)NC1=C(C=C2C3=CC=CC=C3OC2=C1)OC)SC4=CC=C(C=C4)NC(=O)C,-4.505
Q9HC97,C1=CC(=CC=C1C2=C(NC3=CC(=C(C=C32)O)O)C(=O)O)C(F)(F)F,-4.111
Q9HC97,C1=CC(=CC=C1C2=C(NC3=CC(=C(C=C32)O)O)C(=O)O)Cl,-5.29
Q9HC97,COC1=CC(=C(C=C1)C(=O)NC2=C3C(=CC(=C2)Cl)C(=O)C=C(O3)C(=O)O)F,-0.601
Q9HC97,CCCOC1=CC=C(C=C1)C(=O)NC2=CC=CC3=C2OC(=CC3=O)C(=O)O,-3.906
Q9HC97,COC(=O)C1=C(N(N=C1)C2=C(C=C(C=C2)F)F)C=NNC(=S)NC3=CC=CC=C3,-2.579
Q9HC97,CC(C12CC3CC(C1)CC(C3)C2)NC(=O)CN4C(=O)C(=C(C=N4)Cl)Cl,-3.028
Q9HC97,CC1=C(C=CO1)C(=O)NC2=CC=C(C=C2)OCC3=CC=CC=C3,-4.505
Q9HC97,CN1C2=C(C(=O)NC1=O)N(C(=N2)SCCCC3=CC=CC=C3)CC=C,-3.97
Q9HC97,COC(=O)C1=C(N(N=C1)C2=C(C=C(C=C2)F)F)C=NNC(=S)NC3=CC=C(C=C3)Cl,-2.969
Q9HC97,C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O,-5.182
Q9HC97,COC1=C(C=C(C=C1)C(=O)NC2=C3C(=CC(=C2)Br)C(=O)C=C(O3)C(=O)O)OC,-2.629
Q9HC97,C1=CC(=C(C=C1[N+](=O)[O-])O)[N+](=O)[O-],-5.283
Q9HC97,C1=CC=C2C(=C1)C=C(C(=C2CC3=C(C(=CC4=CC=CC=C43)C(=O)O)O)O)C(=O)O,-1.699
Q9HC97,C1(=C(SC2=C1SC(=C2Br)Br)C(=O)O)C(F)(F)F,-4.199
Q9HC97,C1=CC=NC(=C1)C2=C(NC3=C2C=CC(=C3)[N+](=O)[O-])N,-2.896
Q9HC97,CC(C)(C)C1=CC(=CC2=CC(=C(C=C2)OC)OC)C=C(C1=O)C(C)(C)C,-3.499
Q9HC97,C1=CC=C(C=C1)C2=C(NC3=CC(=C(C=C32)O)O)C(=O)O,-4.305
Q9HC97,[B-](F)(F)(F)F.CC1=CC(=CC(=[N+]1CC2CCCO2)C)C=C3N(C4=CC=CC=C4S3)C,-3.158
Q9HC97,CC(C(=O)NC1=CC=C(C=C1)C(=O)C)N2C3=C(C=C(C=C3)Cl)C(=N2)C4=CC=CC=C4,-3.25
Q9HC97,COC(=O)C1=C(N(N=C1)C2=CC=C(C=C2)Cl)C=NNC(=S)N,-3.663
Q9HC97,CCOC(=O)C1=CC=C(C=C1)NC(=O)CCCN2C(=O)C(=CC3=CC=C(C=C3)C)SC2=S,-4.331
Q9HC97,CC(=CCN1C2=C(N=C1NCCC3=CC=CC=C3)N(C(=O)N(C2=O)C)C)Cl,-3.417
Q9HC97,CC(C)C1=CC=C(C=C1)NC(=O)CSC2=NC3=C(C(=O)N2CC4=CC=C(C=C4)C(=O)O)SC=C3,-3.494
Q9HC97,CC1=CC2=C(C=C1)NC(=C2C=CC3=CC=[N+](C=C3)C)C.[I-],-3.21
Q9HC97,CC1=CC=C(C=C1)S(=O)(=O)N2C3=CC=CC=C3N=C2N,-2.857
Q9HC97,CC(C)(C)NC(=S)NN=CC1=C(C=NN1C2=C(C=C(C=C2)F)F)C(=O)OC,-2.588
