GPCR,smiles,STANDARD_VALUE
P21556,CC1=C(C=CC=N1)C(C#N)N2CCN(CC2)C(=O)CC(C3=CC=CC=C3)N(CC4=CC=CC=C4)CC5=CC=CC=C5,-1.613
P21556,CNC(=O)N1C=C(C2=CC=CC=C21)C(=O)C3CSC(N3)C4=CN=CC=C4.C(=O)(C(=O)O)O.C(=O)(C(=O)O)O,-1.097
P21556,CC(C)CC(C)NC(=O)OCC1CN(CCN1C(=O)C2=CC(=C(C(=C2)OC)OC)OC)C(=O)C3=CC(=C(C(=C3)OC)OC)OC,-2.362
P21556,CCCCCCCCCCCCCCCCOCC1(COC1)COC(=O)CCCCC[N+]2=CC=CC=C2.[Br-],-3.166
P21556,CC1=NC2=C(N1CC3=CC=C(C=C3)C(=O)C4=CN(C5=C4C=CC(=C5)C6=CC=C(C=C6)F)C(=O)N(C)C)C=NC=C2,-2.785
P21556,CC1=NC2=C(N1C3=CC=C(C=C3)C4=NC5=C(C(=NN5C)C6=CC=CC=C6)NC(=O)C4)C=CN=C2,-0.431
P21556,CCOC(=O)C1=C2C(=CC=C1)N(C=C2C(=O)C3=CC=C(C=C3)CN4C(=NC5=C4C=CN=C5)C)C(=O)N(C)C,-0.716
P21556,C1CN(CCN1C(C#N)C2=CN=CC=C2)C(=O)C3=CC4=CC=CC=C4C=C3,-4.398
P21556,CCCCCCCCCCCCCCCCOCC1(COC1)COC(=O)CCCCC[N+]2=CSC=C2,-2.816
P21556,CN1C=C(C2=CC=CC=C21)C(C#N)N3CCN(CC3)C(=O)CC(C4=CC=CC=C4)C5=CC=CC=C5,-3.756
P21556,CN(C)C(=O)N1C=C(C2=C1C=C(C=C2)C3=CC=CC=C3)C(=O)C4=C5CSC(N5C=C4)C6=CN=CC=C6,-1.362
P21556,CCCCCCCCCCCCCCOC1=CC=CC=C1CN(CC2=CC=CC=[N+]2C)C(=O)C.[I-],-4.633
P21556,CCCCCCCCCCCCCCC1CC(OC1)COCCCCCC[N+]2=CSC=C2.CC1=CC=C(C=C1)S(=O)(=O)[O-],-3.371
P21556,CC(C#N)(C1=CN=CC=C1)N2CCN(CC2)C(=O)C(C3=CC=CC=C3)C4=CC=CC=C4,-2.38
P21556,COC(=O)N1C=C(C2=CC=CC=C21)C(=O)C3CSC(N3)C4=CN=CC=C4,-0.301
P21556,CCCCCCCCCCCCCCCCCCNC(=O)OCC1CC(O1)COC(=O)N(CC2=CC=CC=[N+]2CC)C(=O)C.[I-],-1.725
P21556,CC1=C(C=CC=N1)C(C#N)N2CCN(CC2)C(=O)CC(C3=CC=CC=C3)NCC=C,-1.255
P21556,CCCCCCCCCCCCCCOC1=C(C(=CC=C1)OP(=O)([O-])OC2=CC=CC(=C2)C[N+]3=CSC=C3)C(=O)C,-3.124
P21556,CC(CCCC1=CC=C(C=C1)F)C2=CC3=C(C4=C(CCN(C4)CC(=O)NC)C(O3)(C)C)C(=C2)OCC(=O)O,-2.966
P21556,C1C(NC(S1)C2=CN=CC=C2)C(=O)C3=CNC4=C3C(=CC=C4)OCC5=CC=CC=C5,-1.114
P21556,CN(C)C(=O)N1C=C(C2=C1C=CC(=C2)OCC3=CC=CC=C3)C(=O)C4=C5CSC(N5C=C4)C6=CN=CC=C6,-2.079
P21556,C1CN(CCN1C(C#N)C2=CN=CC=C2)C(=O)C(CC3=CC=CC=C3)CC4=CC=CC=C4.Cl.Cl,-1.041
P21556,CC(C1=CC=CC=C1)C(=O)N2CCN(CC2)C(C#N)C3=CN=CC=C3.Cl.Cl,-1.322
