GPCR,smiles,STANDARD_VALUE
P30556,C1=CC=C(C=C1)C(=O)CNC2=CC=C(C=C2)Br,-4.13
P30556,CC1=CC(=NC(=N1)NNS(=O)(=O)C2=CC(=C(C=C2)F)Cl)C,-4.379
P30556,CCCCN(CC1=CC=CC=C1)C(=O)CCCOC(=O)C2=C(N=C(N2CC3=C(C=C(C=C3)C4=CC=CC=C4S(=O)(=O)NC(=O)OCCC(C)C)F)CCC)CC,0.699
P30556,CCCC1=NC2=C(C=C(C=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)NC5=NNN=N5)C(=O)NCCC6=CC=C(C=C6)F)C,-2.146
P30556,C1CCC2C(C1)N(C(N2O)C3=C(C=C(C=C3)Cl)Cl)O,-4.247
P30556,C1=CC=C2C(=C1)N=C(S2)SC3=CC(=C(C4=NON=C34)[N+](=O)[O-])NCCCO,-3.313
P30556,CC1=CC=CC(=N1)C=NNC(=O)C2=CC(=CC=C2)Cl,-3.897
P30556,CC1=CC=C(C=C1)NC2=C3C=C(C=CC3=NC2=O)Br,-3.89
P30556,CCCC1=NC(=C(N1CC2=C(C=C(C=C2)C3=CC=CC=C3S(=O)(=O)NC(=O)OCCC)F)C(=O)OCC4=CC=CC=C4C5=CC=CS5)CC,0.301
P30556,CCCCCN(C1=CC2=C(C=C1)N=CN(C2=O)CC3=CC=C(C=C3)C4=CC=CC=C4C5=NN=NN5C)C(=O)C6=CC=CC=C6,-0.633
P30556,CC(=NNC(=O)C1=CC=C(C=C1)F)C2=CC=CC=N2,-3.292
P30556,CCN1C(=CC=C2C(=O)N(C(=S)S2)C)SC(=C1C3=CC=CC=C3)C4=CC=CC=C4,-3.872
P30556,C1=CC2=C(C(=C1)O)N=C(C=C2)C=CC3=CC=CS3,-4.011
P30556,CC1=C(SN=N1)C(=O)NNC2=CC=C(C=C2)C(C)(C)C,-3.408
P30556,CCCCN1C2=CC=CC=C2N=C1C3=CC4=C(N(N=C4C=C3)CCC)CC5=CC=C(C=C5)C6=CC=CC=C6C(=O)O,-1.778
P30556,CCC1=CC2=C(S1)N(C(=O)N(C2=O)CC(=O)C3=C(C=CS3)Br)CC4=CC=C(C=C4)C5=CC=CC=C5C6=NC(=O)ON6,-0.279
P30556,CCCCC1=NC=C(N1CC2=CC=C(C=C2)C(=O)OC)C=C3C(=O)N(C(=O)N3CCC4=CC=CC=C4)CCCC,-1.491
P30556,CCCCN(C1=CC2=C(C=C1)N=CN(C2=O)CC3=CC=C(C=C3)C4=CC=CC=C4C5=NN=NN5C)C(=O)C6=CC=C(C=C6)O,-0.602
P30556,CCCCC1=NN(C(=N1)CCCC)CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4,-0.748
P30556,C1=CC=C2C(=C1)C(=CC(=N2)C3=CC=[N+](C=C3)CC(=O)C4=CC(=CC=C4)[N+](=O)[O-])C(=O)NC5=CC=CC(=C5)C(F)(F)F,-4.416
P30556,CCCCC1=NC=C(N1CC2=CC=C(C=C2)C(=O)O)C=C3C(=O)NC(=O)N3CCCC,-0.38
P30556,CCCCC1=NN(C(=O)N1CC2=C(C=C(C=C2)C3=CC=CC=C3S(=O)(=O)NC(=O)OC(C)(C)C)F)C4=C(C=CC(=C4)NC(=O)CCCC)C(F)(F)F,0.184
P30556,C1=CC(=NC(=C1)Cl)NNC(=O)CCl,-3.434
P30556,CCCC1=NC2=C(C=C(C=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)NC5=NNN=N5)C(=O)NCCC6=CC=CC=C6F)C,-1.954
P30556,CC(=NNC(=O)C1=CC=CC=C1F)C2=CC=CC=N2,-4.067
P30556,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O,-0.431
P30556,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C(=O)O)CO)Cl,-2.362
P30556,CCCC1=NC2=C(C=C(C=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)NC5=NNN=N5)C(=O)NCCC6=CC=C(C=C6)OC)C,-1.943
P30556,CCCC1=NC(=C(N1CC2=C(C=C(C=C2)C3=CC=CC=C3S(=O)(=O)NC(=O)OCCC(C)C)F)C(=O)OCC4=CC=CC=C4OC)CC,1
P30556,COC1=CC2=C(C=C1)OC(C(=O)C2O)C3=CC(=C(C=C3)OC)Br,-4.084
P30556,C1COCC[N+]1(CC#CC2=CC=CC=C2)CC(=O)C3=CC=C(C=C3)Cl,-4.596
P30556,CCOC(=O)C1=CN(N=C1N(C2=CC=C(C=C2)C)C(=O)C)CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,-3.591
P30556,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)COC(=O)C5=CC=C(C=C5)CO[N+](=O)[O-])Cl,-1.279
P30556,CC(C)C(C(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CC2=CC=C(C=C2)C(=O)C3=CC=CC=C3)C(=O)NC(CC4=CN=CN4)C(=O)N5CCCC5C(=O)NC(CC6=CC=CC=C6)C(=O)O)NC(=O)C(CCCN=C(N)N)NC(=O)CNC,-2.398
P30556,C1=CC=C(C=C1)C2=CC(=NC(=N2)NN)C3=CC=CC=C3,-4.112
P30556,CCCCC1=NC2=C(C=C(C=C2)NC(=O)N(C)C(C)C)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,1
P30556,CCCC1=NC2=C(C=C(C=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C(=O)NCCC)C,-3.129
P30556,CCCC1=NC2=C(C=C(C=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)NCC(C6=CC=CC=C6)O)C,-2.027
P30556,CC(C)(C)C1=CC(=C(C(=C1)Cl)O)NC(=S)NC(=O)C2=CN=CC=C2,-4.346
P30556,C1=CC(=CC=C1NCC(=O)C2=CC=C(S2)Br)Br,-4.167
P30556,CC1=CC(=C(C=C1)S(=O)(=O)NC2=CC=CC3=C2N=CC=C3)[N+](=O)[O-],-3.915
P30556,C1CCC2(C1)C(=O)N(N(C2=O)CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)CC6=CC=CC=C6,-2.604
P30556,CCC1=NC2=C(N1C3CCC4=C3C=CC(=C4)C5=CC=CC=C5C6=NNN=N6)N=C(C=C2C)C,-1.982
P30556,CCCCC1=C[N+](=CN1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NN=N[N-]4)CC5=CC=C(C=C5)C6=CC=CC=C6C7=NN=N[N-]7.[K+].[K+].[Br-],0.04
P30556,CCCCC1=NC=C(N1CC2=CC=C(C=C2)C(=O)OC)C=C3C(=O)N(C(=O)N3CC4=CN=CN4)CCCC,-1.736
P30556,CC1=C(C=C(C=C1)C(=O)COC(=O)CN2C(=O)C3CC=CCC3C2=O)[N+](=O)[O-],-4.526
P30556,CCCC1=NC(=C(N1CC2=C(C=C(C=C2)C3=CC=CC=C3S(=O)(=O)NC(=O)OCCC4=CC=CC=C4)F)C(=O)OCC5=CC=CC=C5C(=O)C6=CC=CC=C6)CC,0.244
P30556,CCCCC1=NC=C(N1CC2=CC=C(C=C2)C(=O)OC)C=C3C(=O)N(C(=O)N3C4=CC=CC=C4)CCCC,-0.785
P30556,CC(C)(C)C(=O)CN1C(=O)C2=C(N(C1=O)CC3=CC=C(C=C3)C4=CC=CC=C4C5=NC(=O)ON5)SC(=C2)C6CC6,-0.079
P30556,CCCC1=NC(=C(N1CC2=CC(=C(C=C2)C3=CC=CC=C3S(=O)(=O)NC4=C(C(=NO4)C)C)COC)C(=O)NC)CC,-0.903
P30556,CC(=O)OCCCNC1=C(C2=NON=C2C(=C1)SC3=NC4=CC=CC=C4S3)[N+](=O)[O-],-3.313
P30556,CCCC1=NC2=C(N1CC3=CC4=C(C=C3)C(=CC5=CC=CC=C5C4)C6=NNN=N6)N=C(C=C2C)C,0.31
P30556,CCCC1=NC2=C(C=C(C=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)NC5=NNN=N5)C(=O)NCCC6=CC=CC=C6OC)C,-1.417
P30556,CCCCC1=NC=C(N1CC2=CC=C(C=C2)C(=O)OC)C=C3C(=O)NC(=O)N3CC4=CC=CS4,-0.851
P30556,CC1=CC=C(C=C1)C(=O)CNC2=CC(=C(C=C2)C)Cl,-3.735
P30556,CN(C)CCN(CC1=CC=CO1)C(=O)C2=CC3=C(S2)C4=CC=CC=C4N=C3Cl,-4.529
P30556,CCCCC1=NN(C(=O)N1CC2=CC=C(C=C2)N3C=CC=C3C4=NNN=N4)C,-0.398
P30556,CC1=CC(=CC=C1)NC(=S)NNC2=C(C=C(C=N2)C(F)(F)F)Cl,-4.118
P30556,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(CO)C(C)C,-2.431
P30556,CC1=NC2=C(C=CC=C2NS(=O)(=O)C3=CC=CC=C3)C=C1,-3.37
P30556,C1COCCN1C(=S)NN=CC2=CC=CC=C2,-4.125
P30556,CNS(=O)(=O)C1=CC=CC(=C1)C(=O)OCC(=O)C2=CC3=CC=CC=C3O2,-4.19
P30556,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)CN5CCN(CC5)C(=O)C6=CC=CC=C6,-0.699
P30556,CCCC1=NC2=C(C=C(C=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C(=O)NCCC5=C(C=CC(=C5)OC)OC)C,-0.114
P30556,CCCC1=NC2=C(C=C(C=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)NC5=NNN=N5)C(=O)NC(C)C)C,-2.207
P30556,CCCCNC(=O)C1=CC(=C2C(=C1)N(C(=N2)CCC)CC3=CC=C(C=C3)C4=CC=CC=C4S(=O)(=O)NC5=C(C(=NO5)C)C)C,-2.667
P30556,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)CN5CCN(CC5)C6=CC=CC=N6,-1
P30556,C1CCN(C1)C(C2=C(C3=C(C=CC=N3)C=C2)O)C4=CC=CC=C4Cl,-4.08
P30556,CCC1=NC2=C(N1C3CCC4=C3C=CC(=C4)C5=CC=CC=C5C6=NNN=N6)C(=O)N(C=C2)CC7=CN=CC=C7,-1.654
P30556,CCCCN1C(=C(C=N1)C(=O)O)NC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4,-0.415
P30556,CCOC(=O)C1=C(N=C(C=C1NCC2=CC3=C(C=C2)C(=CC4=CC=CC=C4C3=O)C5=NNN=N5)C)C,-0.462
P30556,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(CC4CCCCC4)C(=O)O,-1.778
P30556,CC1=NN=C2N1N(C(=C(S2)C(=O)C)C3=CC=CC=C3)C(=O)C,-4.054
P30556,CCCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)NNC2=O,-1.23
P30556,CCCC(=O)OCCNC1=C(C2=NON=C2C(=C1)SCCC)[N+](=O)[O-],-4.04
P30556,CS(=O)(=O)C1=NC=C(C(=N1)C(=O)NC2=CC=C(C=C2)OC(F)F)Cl,-3.891
